Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
reformas de baños;1;1;0;1900;2.02;http://fotos.habitissimo.es/reformas-banos;1.90;3.22;0.84;875000;0.66,0.55,0.66,0.45,0.34,0.45,0.55,0.55,0.83,0.55,0.99,0.99
fotos de piscinas;1;2;1;880;0.56;http://fotos.habitissimo.es/construccion-piscinas;0.88;0.41;0.34;21900000;0.31,0.38,0.46,0.99,0.99,0.84,0.38,0.31,0.21,0.21,0.38,0.31
casas pequeñas;1;0;0;880;0.25;http://proyectos.habitissimo.es/proyecto/casas-pequenas-con-mucho-estilo;0.88;0.18;0.13;14300000;0.68,0.55,0.68,0.55,0.55,0.68,0.68,0.68,0.68,0.55,0.99,0.99
reformas baños;1;1;0;720;1.75;http://fotos.habitissimo.es/reformas-banos;0.72;1.05;0.83;1040000;0.99,0.82,0.99,0.82,0.67,0.67,0.82,0.82,0.99,0.82,0.99,0.99
coaatmu;2;2;0;2400;0.00;http://www.habitissimo.es/certificaciones/colegiado-coaatmu;0.66;0.00;0.00;9000;0.99,0.99,0.83,0.83,0.83,0.34,0.83,0.83,0.66,0.66,0.66,0.66
casas prefabricadas precios;4;4;0;4400;0.28;http://precio.habitissimo.es/construccion-casas-prefabricadas;0.65;0.15;0.93;715000;0.82,0.55,0.24,0.24,0.55,0.99,0.28,0.19,0.36,0.44,0.67,0.36
marcas de colchones;1;1;0;480;0.82;http://www.habitissimo.es/marcas/colchones;0.48;0.33;0.80;1050000;0.81,0.81,0.81,0.66,0.81,0.99,0.99,0.99,0.99,0.66,0.99,0.99
vestidores modernos;1;2;1;480;0.40;http://fotos.habitissimo.es/armarios-y-vestidores/moderno;0.48;0.16;0.27;648000;0.82,0.82,0.36,0.24,0.36,0.55,0.99,0.55,0.44,0.24,0.67,0.55
cuanto cuesta tapizar un sofa;1;1;0;480;0.21;http://precio.habitissimo.es/tapizar-sofa;0.48;0.08;0.52;8000;0.67,0.44,0.54,0.54,0.44,0.44,0.67,0.67,0.82,0.67,0.99,0.82
reformas;11;8;-3;4400;1.61;http://www.habitissimo.es/presupuestos/reformas;0.44;0.59;0.88;82800000;0.99,0.99,0.99,0.81,0.81,0.67,0.99,0.99,0.99,0.67,0.99,0.99
ikea hackers;4;4;0;2900;0.00;http://www.habitissimo.es/ideas/19-mejores-hacks-ikea;0.43;0.00;0.00;739000;0.66,0.66,0.55,0.99,0.66,0.82,0.82,0.66,0.66,0.55,0.82,0.66
tapizar sofa precio;1;1;0;390;0.25;http://precio.habitissimo.es/tapizar-sofa;0.39;0.08;0.85;128000;0.44,0.44,0.44,0.44,0.54,0.66,0.66,0.66,0.81,0.66,0.99,0.81
imagenes de piscinas;1;1;0;390;0.97;http://fotos.habitissimo.es/construccion-piscinas;0.39;0.31;0.39;896000;0.36,0.30,0.44,0.99,0.82,0.67,0.30,0.19,0.19,0.16,0.24,0.24
microcemento precio m2;1;1;0;390;1.52;http://precio.habitissimo.es/microcemento;0.39;0.49;0.91;118000;0.67,0.54,0.81,0.99,0.44,0.54,0.99,0.99,0.81,0.44,0.54,0.99
presupuestos de reformas;1;1;0;390;4.58;http://www.habitissimo.es/presupuestos/reformas;0.39;1.50;0.86;8200000;0.81,0.99,0.66,0.54,0.44,0.44,0.66,0.66,0.66,0.66,0.44,0.44
fotos de cocinas;2;2;0;1300;0.75;http://fotos.habitissimo.es/reformas-cocinas;0.36;0.22;0.40;1830000;0.99,0.62,0.62,0.55,0.62,0.62,0.62,0.81,0.81,0.62,0.99,0.99
profiltek;9;11;2;5400;0.30;http://www.habitissimo.es/profiltek;0.34;0.08;0.08;112000;0.82,0.82,0.82,0.82,0.99,0.55,0.99,0.99,0.99,0.67,0.82,0.99
precio reforma baño;1;1;0;320;1.74;http://precio.habitissimo.es/reformas-banos;0.32;0.46;0.85;952000;0.82,0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.67,0.99,0.99
fotos de chimeneas;1;1;0;320;0.28;http://fotos.habitissimo.es/chimeneas;0.32;0.07;0.20;1080000;0.44,0.28,0.28,0.19,0.19,0.19,0.28,0.36,0.99,0.99,0.99,0.81
precio tapizar sofa;1;1;0;320;0.17;http://precio.habitissimo.es/tapizar-sofa;0.32;0.04;0.59;128000;0.67,0.44,0.54,0.54,0.54,0.67,0.82,0.82,0.99,0.82,0.99,0.99
marcas de lavadoras;1;1;0;320;0.32;http://www.habitissimo.es/marcas/lavadora;0.32;0.08;0.42;1320000;0.67,0.67,0.67,0.54,0.67,0.67,0.67,0.67,0.81,0.67,0.99,0.81
reforma de baños;1;1;0;320;1.83;http://fotos.habitissimo.es/reformas-banos;0.32;0.49;0.82;2540000;0.99,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.67,0.54,0.82,0.99
ventanas de aluminio o pvc;1;1;0;320;0.83;http://preguntas.habitissimo.es/pregunta/cambiar-ventanas-por-aluminio-o-pvc;0.32;0.22;0.75;596000;0.24,0.24,0.36,0.28,0.28,0.36,0.44,0.44,0.99,0.54,0.99,0.99
duchas de obra fotos;1;1;0;320;0.53;http://fotos.habitissimo.es/foto/plato-de-ducha-de-obra-con-piedra-natural_211841;0.32;0.14;0.73;422000;0.67,0.67,0.54,0.44,0.44,0.81,0.99,0.99,0.54,0.23,0.35,0.67
lacar puertas;2;2;0;1000;0.59;http://preguntas.habitissimo.es/pregunta/lacar-puertas-de-madera-y-sus-marcos;0.27;0.13;0.44;202000;0.77,0.68,0.68,0.55,0.55,0.55,0.68,0.68,0.77,0.77,0.99,0.99
marcas de pinturas;1;1;0;260;0.35;http://www.habitissimo.es/marcas/pintura;0.26;0.07;0.22;2000000;0.82,0.99,0.67,0.54,0.82,0.67,0.67,0.67,0.82,0.67,0.67,0.67
fotos piscinas;1;2;1;260;0.30;http://fotos.habitissimo.es/construccion-piscinas;0.26;0.06;0.49;21900000;0.54,0.54,0.67,0.81,0.99,0.67,0.44,0.44,0.28,0.28,0.28,0.35
precio quitar gotele;1;1;0;260;1.04;http://preguntas.habitissimo.es/pregunta/buenas-cuanto-cuesta-pintar-un-piso-de-90-metros-haciendo-paredes-lisas-actuslmente-estan-con-gotele;0.26;0.22;0.74;70000;0.66,0.66,0.66,0.66,0.53,0.66,0.66,0.81,0.99,0.81,0.99,0.99
reformas cocinas barcelona;1;2;1;260;3.09;http://precio.habitissimo.es/reformas-cocinas/barcelona;0.26;0.67;0.74;759000;0.36,0.44,0.36,0.99,0.36,0.28,0.28,0.19,0.15,0.19,0.19,0.24
presupuestos reformas;1;1;0;260;4.38;http://www.habitissimo.es/presupuestos/reformas;0.26;0.95;0.86;8010000;0.99,0.81,0.99,0.99,0.53,0.53,0.81,0.99,0.81,0.66,0.81,0.81
cuanto cuesta reformar una casa;1;1;0;260;1.92;http://preguntas.habitissimo.es/pregunta/cuanto-costaria-reforma-una-casa;0.26;0.41;0.64;76000;0.81,0.81,0.99,0.81,0.81,0.81,0.99,0.81,0.81,0.66,0.99,0.99
microcemento precio;2;1;-1;880;1.59;http://precio.habitissimo.es/microcemento;0.24;0.32;0.90;378000;0.99,0.77,0.77,0.45,0.37,0.68,0.68,0.77,0.77,0.68,0.68,0.77
reformar baño;2;3;1;880;1.78;http://fotos.habitissimo.es/reformas-banos;0.24;0.36;0.82;5510000;0.77,0.68,0.68,0.68,0.55,0.45,0.55,0.55,0.55,0.55,0.77,0.99
baeza sa;11;0;0;2400;2.04;http://www.habitissimo.es/baeza-sa-sevilla;0.24;0.41;0.01;705000;0.99,0.99,0.99,0.99,0.99,0.66,0.66,0.83,0.83,0.55,0.55,0.66
technal;8;7;-1;3600;0.38;http://www.habitissimo.es/technal;0.23;0.07;0.07;389000;0.82,0.66,0.82,0.66,0.66,0.36,0.82,0.82,0.99,0.66,0.82,0.82
ventanas de pvc o aluminio;1;1;0;210;0.72;http://preguntas.habitissimo.es/pregunta/cambiar-ventanas-por-aluminio-o-pvc;0.21;0.12;0.79;441000;0.36,0.36,0.44,0.44,0.36,0.28,0.54,0.67,0.99,0.82,0.54,0.82
reforma baños;1;2;1;210;2.62;http://fotos.habitissimo.es/reformas-banos;0.21;0.46;0.84;2170000;0.99,0.81,0.81,0.65,0.54,0.65,0.99,0.81,0.81,0.54,0.65,0.99
puertas de garaje automaticas precios;1;1;0;210;0.70;http://precio.habitissimo.es/puertas-garaje;0.21;0.12;0.97;164000;0.66,0.34,0.44,0.44,0.66,0.99,0.99,0.81,0.53,0.66,0.99,0.81
carpinteria de aluminio precios;1;1;0;210;1.59;http://precio.habitissimo.es/carpinteria-aluminio;0.21;0.28;0.96;462000;0.81,0.66,0.66,0.44,0.53,0.81,0.81,0.99,0.81,0.53,0.53,0.66
