Keyword,Position,"Previous Position","Search Volume",CPC,Url,"Traffic (%)","Traffic Cost (%)",Competition,"Number of Results",Trends,Timestamp,geo
"pedir presupuesto",1,1,110,2.94,http://www.hazmeprecio.com/pedir-presupuesto,3.08,6.27,0.66,16900000,"0.82,0.65,0.99,0.53,0.53,0.65,0.53,0.65,0.53,0.82,0.82,0.82",1428198822,
"presupuesto online",1,1,110,2.85,http://www.hazmeprecio.com/,3.08,6.08,0.61,9750000,"0.82,0.65,0.65,0.65,0.65,0.41,0.82,0.82,0.99,0.53,0.82,0.65",1428783546,
"presupuestos online",2,3,260,2.08,http://www.hazmeprecio.com/,2.01,2.90,0.69,745000,"0.81,0.99,0.54,0.35,0.35,0.28,0.44,0.54,0.54,0.35,0.44,0.54",1428845544,
"cuanto cuesta un armario empotrado",1,3,50,0.56,http://www.hazmeprecio.com/presupuesto/armarios-empotrados,1.40,0.54,0.48,39000,"0.99,0.71,0.71,0.71,0.56,0.71,0.71,0.99,0.99,0.56,0.71,0.71",1428174572,
"tela asfaltica precio",11,11,480,0.64,http://www.hazmeprecio.com/presupuesto/tela-asfaltica,1.34,0.59,0.42,82000,"0.82,0.67,0.55,0.24,0.44,0.67,0.99,0.82,0.30,0.24,0.55,0.44",1428722150,
"solicitar presupuestos",4,4,320,1.92,http://www.hazmeprecio.com/presupuesto/reforma,1.33,1.77,0.03,18600000,"0.18,0.36,0.82,0.82,0.67,0.99,0.82,0.82,0.82,0.99,0.82,0.67",1428132089,
"microcemento precio m2",5,6,390,1.52,http://www.hazmeprecio.com/presupuesto/colocacion-microcemento,1.16,1.22,0.91,125000,"0.67,0.54,0.81,0.99,0.44,0.54,0.99,0.99,0.81,0.44,0.54,0.99",1428629908,
"precio quitar gotele m2",1,1,40,1.23,http://www.hazmeprecio.com/presupuesto/quitar-gotele,1.12,0.95,0.52,42000,"0.33,0.22,0.33,0.22,0.33,0.33,0.33,0.22,0.56,0.78,0.99,0.56",1428183831,
"cuanto cuesta hacer un armario empotrado",1,3,40,0.78,http://www.hazmeprecio.com/presupuesto/armarios-empotrados,1.12,0.60,0.54,21000,"0.56,0.33,0.44,0.44,0.33,0.99,0.33,0.22,0.44,0.33,0.44,0.44",1428413931,
"precio lacar puertas en blanco",2,3,140,0.64,http://www.hazmeprecio.com/presupuesto/lacar-puertas,1.08,0.48,0.61,73000,"0.28,0.22,0.28,0.28,0.34,0.44,0.66,0.28,0.28,0.16,0.66,0.99",1428477771,
"pedir presupuestos",3,3,170,1.39,http://www.hazmeprecio.com/pedir-presupuesto,0.91,0.87,0.59,1220000,"0.28,0.44,0.99,0.82,0.82,0.82,0.67,0.18,0.05,0.08,0.05,0.08",1428727906,
"precio reforma baño",11,11,320,1.74,http://www.hazmeprecio.com/presupuesto/reforma-baño,0.89,1.08,0.85,8880000,"0.82,0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.67,0.99,0.99",1428132267,
"pintar piso",11,13,320,1.24,http://www.hazmeprecio.com/presupuesto/pintar-piso/barcelona,0.89,0.77,0.46,948000,"0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67",1428214183,
"toldos urca",2,2,110,1.08,http://www.hazmeprecio.com/empresa/toldos-urca,0.85,0.63,0.20,13000,"0.42,0.54,0.54,0.99,0.54,0.35,0.35,0.42,0.27,0.27,0.27,0.35",1428145828,
