Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo
tumanitas,1,1,2400,0.05,http://tumanitas.com/,33.35,1.27,0.13,323000,"0.99,0.83,0.83,0.83,0.66,0.66,0.66,0.66,0.66,0.55,0.83,0.83",1428447196,nogeo
tu manitas,1,1,480,0.10,http://tumanitas.com/,6.67,0.51,0.18,551000,"0.99,0.81,0.81,0.99,0.99,0.81,0.81,0.99,0.99,0.81,0.99,0.99",1428285204,nogeo
presupuestos de reformas,1,1,390,4.58,http://tumanitas.com/,5.41,18.98,0.86,12300000,"0.81,0.99,0.66,0.54,0.44,0.44,0.66,0.66,0.66,0.66,0.44,0.44",1428717075,nogeo
tus manitas,1,1,260,0.30,http://tumanitas.com/,3.61,0.82,0.23,718000,"0.99,0.67,0.54,0.67,0.54,0.35,0.44,0.67,0.67,0.35,0.54,0.67",1428429612,nogeo
presupuestos reformas,1,2,260,4.38,http://tumanitas.com/,3.61,12.10,0.86,12100000,"0.99,0.81,0.99,0.99,0.53,0.53,0.81,0.99,0.81,0.66,0.81,0.81",1428808479,nogeo
pedir presupuestos,1,1,170,1.39,http://tumanitas.com/pedir-presupuestos.html,2.36,2.51,0.59,1220000,"0.28,0.44,0.99,0.82,0.82,0.82,0.67,0.18,0.05,0.08,0.05,0.08",1428727906,nogeo
poliuretano proyectado precio m2,1,1,170,0.73,http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado,2.36,1.31,0.61,26000,"0.81,0.52,0.67,0.67,0.67,0.67,0.81,0.81,0.67,0.81,0.99,0.81",1428247547,nogeo
presupuestos para reformas,1,1,140,3.52,http://tumanitas.com/,1.94,5.23,0.64,11600000,"0.43,0.19,0.33,0.67,0.99,0.52,0.52,0.81,0.67,0.67,0.99,0.81",1428424697,nogeo
poliuretano proyectado precio,1,2,110,0.77,http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado,1.52,0.90,0.70,79000,"0.52,0.33,0.33,0.43,0.19,0.43,0.43,0.43,0.67,0.81,0.99,0.99",1428750201,nogeo
tumanitas.com,1,0,90,0.28,http://tumanitas.com/,1.25,0.26,0.30,324000,"0.99,0.52,0.43,0.24,0.33,0.24,0.33,0.33,0.43,0.24,0.24,0.24",1428183830,nogeo
comparar presupuestos,2,2,260,1.27,http://tumanitas.com/,0.99,0.97,0.02,804000,"0.23,0.28,0.82,0.67,0.54,0.67,0.82,0.82,0.82,0.99,0.82,0.82",1428646229,nogeo
empresas de reformas,11,13,590,3.13,http://tumanitas.com/buscar-empresas,0.81,1.96,0.94,45400000,"0.82,0.82,0.82,0.67,0.82,0.54,0.67,0.82,0.82,0.67,0.82,0.99",1428746121,nogeo
presupuesto reforma,4,4,320,4.00,http://tumanitas.com/,0.66,2.02,0.91,39800000,"0.99,0.66,0.54,0.54,0.44,0.28,0.44,0.54,0.66,0.54,0.66,0.54",1428721832,nogeo
reformas baños,9,11,720,1.75,http://tumanitas.com/trabajos-de/reformas-banos,0.63,0.85,0.83,1030000,"0.99,0.82,0.99,0.82,0.67,0.67,0.82,0.82,0.99,0.82,0.99,0.99",1428154946,nogeo
obras y reformas,6,8,390,2.08,http://tumanitas.com/,0.57,0.91,0.84,571000,"0.99,0.67,0.99,0.81,0.54,0.35,0.67,0.81,0.81,0.54,0.81,0.81",1428823140,nogeo
carpinteria barcelona,3,4,210,1.55,http://tumanitas.com/trabajos-en/barcelona/carpinteria-madera,0.55,0.66,0.77,653000,"0.81,0.65,0.81,0.65,0.81,0.81,0.99,0.99,0.99,0.81,0.99,0.81",1428610649,geo
pedir presupuesto reforma,1,1,40,4.58,http://tumanitas.com/,0.55,1.94,0.97,7270000,"0.44,0.22,0.33,0.56,0.56,0.33,0.99,0.99,0.33,0.33,0.44,0.11",1428323022,nogeo
reformar piso,11,11,390,2.31,http://tumanitas.com/trabajos-de/reforma-vivienda,0.54,0.95,0.85,12800000,"0.54,0.44,0.66,0.44,0.54,0.54,0.66,0.81,0.81,0.66,0.99,0.81",1428697664,nogeo
presupuesto reformas,2,2,140,4.65,http://tumanitas.com/,0.53,1.91,0.80,24100000,"0.82,0.82,0.65,0.99,0.82,0.82,0.65,0.82,0.65,0.53,0.65,0.82",1428179342,nogeo
precio reforma baño,6,6,320,1.74,http://tumanitas.com/precios-de-reformas/reformas-banos,0.47,0.62,0.85,8880000,"0.82,0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.67,0.99,0.99",1428132267,nogeo
pedir presupuesto,2,2,110,2.94,http://tumanitas.com/pedir-presupuestos.html,0.42,0.95,0.66,16900000,"0.82,0.65,0.99,0.53,0.53,0.65,0.53,0.65,0.53,0.82,0.82,0.82",1428198822,nogeo
