Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo class,relevant class
vitalnet,20,18,27100,2.12,http://www.habitissimo.es/lavanderias-vital-net,0.13,0.27,0.00,97000,"0.99,0.82,0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.82,0.67,0.67",1428701960,nogeo,norelevant
saunier duval,17,0,18100,2.52,http://www.habitissimo.es/saunier-duval,0.12,0.29,0.60,602000,"0.67,0.55,0.55,0.55,0.55,0.45,0.67,0.82,0.99,0.99,0.99,0.99",1428754699,nogeo,norelevant
saneamientos pereda,19,0,12100,0.21,http://www.habitissimo.es/saneamientos-pereda-pruvia,0.06,0.01,0.05,36000,"0.99,0.82,0.82,0.82,0.99,0.82,0.99,0.99,0.99,0.82,0.99,0.99",1428188321,nogeo,norelevant
expomobi,11,10,8100,0.22,http://www.habitissimo.es/muebles-expo-mobi,0.64,0.13,0.06,65000,"0.82,0.82,0.99,0.82,0.82,0.67,0.67,0.67,0.67,0.45,0.67,0.45",1428123167,nogeo,norelevant
grohe,11,10,8100,0.02,http://www.habitissimo.es/grohe,0.64,0.01,0.11,15700000,"0.99,0.81,0.99,0.81,0.99,0.67,0.99,0.99,0.99,0.81,0.99,0.99",1428329098,nogeo,norelevant
infocosta,11,13,6600,0.00,http://www.habitissimo.es/unitex-info-costa-brava-s-l,0.52,0.00,0.00,183000,"0.67,0.67,0.99,0.67,0.82,0.82,0.67,0.55,0.55,0.36,0.36,0.36",1428654741,nogeo,norelevant
azulejos peña,10,11,6600,0.22,http://www.habitissimo.es/azulejos-pena,0.33,0.07,0.10,367000,"0.99,0.81,0.81,0.81,0.81,0.54,0.81,0.81,0.81,0.54,0.81,0.99",1428318325,nogeo,norelevant
astralpool,14,14,6600,0.54,http://www.habitissimo.es/astralpool/distribuidores,0.07,0.04,0.08,522000,"0.55,0.67,0.82,0.99,0.99,0.55,0.45,0.45,0.30,0.24,0.30,0.36",1428832784,nogeo,norelevant
muebles tifon,16,0,6600,0.30,http://www.habitissimo.es/muebles-tifon-hipermueble_s,0.05,0.01,0.10,60000,"0.67,0.55,0.55,0.55,0.67,0.67,0.82,0.82,0.82,0.67,0.99,0.82",1428610664,nogeo,norelevant
sauce asturias,16,15,6600,0.00,http://www.habitissimo.es/holz-sauce,0.05,0.00,0.00,352000,"0.82,0.67,0.55,0.99,0.07,0.03,0.82,0.82,0.67,0.99,0.55,0.55",1428218830,geo,norelevant
