Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
cerrajeros almeria;9;9;0;320;5.46;http://www.cerrajeros-24horas.eu/cerrajero-almeria-barato.html;6.23;3.92;0.81;285000;0.54,0.81,0.54,0.35,0.44,0.67,0.67,0.54,0.99,0.54,0.67,0.44
cerrajeros huelva;10;9;-1;320;2.85;http://www.cerrajeros-24horas.eu/cerrajero-huelva-barato.html;6.23;2.04;0.64;480000;0.15,0.15,0.12,0.07,0.67,0.99,0.19,0.36,0.99,0.82,0.82,0.36
cerrajeros pamplona;8;7;-1;260;6.35;http://www.cerrajeros-24horas.eu/cerrajero-pamplona-iruna-barato.html;5.06;3.71;0.80;207000;0.81,0.81,0.53,0.53,0.99,0.99,0.99,0.99,0.99,0.99,0.81,0.81
cerrajeros lleida;5;5;0;140;2.66;http://www.cerrajeros-24horas.eu/cerrajero-lleida-barato.html;4.54;1.39;0.70;419000;0.99,0.82,0.65,0.41,0.53,0.99,0.99,0.82,0.65,0.82,0.82,0.82
cerrajeros jerez;11;13;2;140;5.29;http://www.cerrajeros-24horas.eu/cerrajero-jerez-de-la-frontera-barato.html;4.27;2.60;0.71;116000;0.99,0.42,0.99,0.99,0.42,0.54,0.35,0.42,0.54,0.54,0.42,0.19
cerrajero fuengirola;10;11;1;210;10.47;http://www.cerrajeros-24horas.eu/cerrajero-fuengirola-barato.html;4.09;4.94;0.69;21000;0.22,0.22,0.22,0.66,0.99,0.81,0.34,0.66,0.99,0.81,0.81,0.81
cerrajeros vitoria;6;7;1;110;3.03;http://www.cerrajeros-24horas.eu/cerrajero-vitoria-gasteiz-barato.html;3.57;1.24;0.95;142000;0.67,0.99,0.43,0.67,0.43,0.33,0.43,0.81,0.81,0.43,0.52,0.52
cerrajero vigo;13;11;-2;590;4.88;http://www.cerrajeros-24horas.eu/cerrajero-vigo-barato.html;3.44;1.94;0.84;70000;0.82,0.82,0.99,0.99,0.67,0.55,0.24,0.19,0.36,0.67,0.44,0.82
cerrajeros alcorcon;11;11;0;110;30.17;http://www.cerrajeros-24horas.eu/cerrajero-alcorcon-barato.html;3.35;11.68;0.81;83000;0.99,0.82,0.82,0.53,0.53,0.41,0.82,0.82,0.65,0.53,0.53,0.65
cerrajero salamanca;10;10;0;170;7.60;http://www.cerrajeros-24horas.eu/cerrajero-salamanca-barato.html;3.31;2.90;0.84;144000;0.15,0.12,0.12,0.08,0.07,0.08,0.54,0.99,0.28,0.15,0.24,0.24
cerrajeros ferrol;10;10;0;170;5.47;http://www.cerrajeros-24horas.eu/cerrajero-ferrol-barato.html;3.31;2.08;0.94;65000;0.81,0.65,0.99,0.99,0.65,0.42,0.42,0.54,0.42,0.42,0.54,0.54
cerrajeros cartagena;8;9;1;170;7.85;http://www.cerrajeros-24horas.eu/cerrajero-cartagena-barato.html;3.31;2.99;0.95;156000;0.99,0.54,0.65,0.54,0.81,0.54,0.42,0.81,0.65,0.65,0.54,0.65
cerrajero leon;6;6;0;90;0.90;http://www.cerrajeros-24horas.eu/cerrajero-leon-barato.html;2.92;0.30;0.88;164000;0.99,0.50,0.50,0.36,0.36,0.79,0.64,0.64,0.36,0.64,0.36,0.64
cerrajero benalmadena;6;6;0;90;8.41;http://www.cerrajeros-24horas.eu/cerrajero-benalmadena-barato.html;2.92;2.83;0.82;12000;0.24,0.28,0.24,0.28,0.53,0.99,0.41,0.65,0.82,0.99,0.65,0.41
cerrajeros logroño;7;7;0;110;1.39;http://www.cerrajeros-24horas.eu/cerrajero-logrono-barato.html;2.85;0.45;0.79;59000;0.53,0.65,0.53,0.53,0.53,0.65,0.65,0.53,0.82,0.65,0.65,0.99
cerrajeros en vigo;10;11;1;140;5.67;http://www.cerrajeros-24horas.eu/cerrajero-vigo-barato.html;2.72;1.78;0.92;223000;0.67,0.67,0.24,0.52,0.67,0.99,0.52,0.67,0.67,0.67,0.52,0.52
cerrajero en vigo;10;11;1;140;0.00;http://www.cerrajeros-24horas.eu/cerrajero-vigo-barato.html;2.72;0.00;0.99;69000;0.53,0.34,0.09,0.16,0.34,0.28,0.22,0.22,0.28,0.81,0.66,0.99
cantabria 24 horas;17;16;-1;1000;2.38;http://www.cerrajeros-24horas.eu/cerrajero-cantabria-24horas.html;2.59;0.71;0.03;782000;0.99,0.88,0.99,0.88,0.99,0.88,0.88,0.99,0.99,0.88,0.99,0.99
cerrajero leon;7;7;0;90;0.90;http://www.cerrajeros-24horas.eu/cerrajero-leon-24horas.html;2.33;0.24;0.88;164000;0.99,0.50,0.50,0.36,0.36,0.79,0.64,0.64,0.36,0.64,0.36,0.64
cerrajeria irun;3;4;1;40;9.74;http://www.cerrajeros-24horas.eu/cerrajero-irun-barato.html;2.33;2.62;0.53;23000;0.43,0.71,0.43,0.56,0.71,0.43,0.43,0.99,0.43,0.28,0.43,0.56
