Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
cerrajeros madrid;3;3;0;5400;24.62;http://www.cerrajerosmadridd24horas.com/;26.61;27.80;0.83;490000;0.99,0.99,0.99,0.99,0.82,0.82,0.82,0.99,0.82,0.82,0.67,0.67
cerrajeros madrid 24 horas;2;2;0;1900;25.30;http://www.cerrajerosmadridd24horas.com/;13.52;14.51;0.92;166000;0.79,0.79,0.67,0.54,0.54,0.99,0.79,0.99,0.67,0.79,0.79,0.79
cerrajeros urgentes madrid;1;1;0;260;42.49;http://www.cerrajerosmadridd24horas.com/;6.69;12.06;0.93;192000;0.99,0.81,0.81,0.54,0.35,0.54,0.44,0.44,0.44,0.44,0.23,0.44
cerrajeros;5;5;0;2400;15.66;http://www.cerrajerosmadridd24horas.com/;6.57;4.36;0.91;947000;0.83,0.66,0.99,0.83,0.99,0.83,0.83,0.99,0.83,0.66,0.66,0.83
cerrajero;6;5;-1;1900;13.86;http://www.cerrajerosmadridd24horas.com/;5.20;3.05;0.88;796000;0.79,0.67,0.79,0.79,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
cerrajero madrid;2;2;0;720;22.58;http://www.cerrajerosmadridd24horas.com/;5.12;4.91;0.95;412000;0.99,0.88,0.72,0.72,0.48,0.48,0.72,0.72,0.72,0.59,0.59,0.72
cerrajeros urgentes;1;1;0;170;6.54;http://www.cerrajerosmadridd24horas.com/;4.37;1.21;0.86;451000;0.99,0.81,0.53,0.44,0.53,0.66,0.44,0.66,0.66,0.53,0.28,0.22
cerrajeros 24 horas madrid;2;3;1;480;29.46;http://www.cerrajerosmadridd24horas.com/;3.41;4.27;0.95;439000;0.99,0.67,0.82,0.55,0.55,0.44,0.55,0.55,0.44,0.44,0.44,0.44
cerrajeros en madrid;3;3;0;590;21.66;http://www.cerrajerosmadridd24horas.com/;2.90;2.67;0.94;629000;0.99,0.48,0.88,0.48,0.48,0.39,0.48,0.48,0.59,0.39,0.39,0.48
cerrajero 24 horas;3;3;0;590;20.80;http://www.cerrajerosmadridd24horas.com/;2.90;2.56;0.88;850000;0.67,0.67,0.82,0.99,0.82,0.67,0.67,0.67,0.67,0.99,0.67,0.82
cerrajeros madrid urgentes;2;2;0;390;38.72;http://www.cerrajerosmadridd24horas.com/;2.77;4.56;0.93;54000;0.81,0.81,0.99,0.81,0.67,0.81,0.54,0.81,0.54,0.99,0.67,0.67
cerrajeros madrid centro;4;4;0;590;31.34;http://www.cerrajerosmadridd24horas.com/cerrajeros-madrid-centro-24-horas/;2.26;3.00;0.83;120000;0.44,0.36,0.67,0.67,0.55,0.55,0.36,0.82,0.55,0.82,0.99,0.55
cerrajeros 24 horas;3;2;-1;390;16.53;http://www.cerrajerosmadridd24horas.com/;1.92;1.34;0.92;681000;0.99,0.99,0.81,0.99,0.81,0.99,0.99,0.99,0.81,0.81,0.81,0.99
cerrajeros baratos madrid;2;2;0;260;12.47;http://www.cerrajerosmadridd24horas.com/;1.85;0.97;0.93;212000;0.99,0.82,0.67,0.44,0.36,0.44,0.54,0.82,0.67,0.82,0.44,0.23
cerrajeros madrid 24h;2;2;0;260;15.87;http://www.cerrajerosmadridd24horas.com/;1.85;1.24;0.87;59000;0.44,0.66,0.44,0.66,0.99,0.81,0.36,0.28,0.15,0.24,0.12,0.19
cerrajero 24 horas madrid;2;2;0;210;39.79;http://www.cerrajerosmadridd24horas.com/;1.49;2.52;0.97;224000;0.99,0.65,0.54,0.65,0.65,0.54,0.54,0.65,0.99,0.65,0.81,0.81
cerrajero barato madrid;3;3;0;210;21.25;http://www.cerrajerosmadridd24horas.com/;1.03;0.93;0.97;83000;0.44,0.66,0.81,0.81,0.53,0.99,0.99,0.66,0.53,0.66,0.53,0.66
