Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
electricista;6;7;1;2400;3.19;http://www.electricistabarato.es/;51.06;45.78;0.77;12400000;0.53,0.44,0.53,0.53,0.53,0.44,0.99,0.81,0.67,0.67,0.81,0.67
electricistas;3;2;-1;880;4.38;http://www.electricistabarato.es/;33.70;41.49;0.81;1550000;0.88,0.88,0.88,0.88,0.72,0.59,0.88,0.88,0.99,0.99,0.99,0.88
electricista barato;1;1;0;50;4.09;http://www.electricistabarato.es/;10.00;11.49;0.77;850000;0.78,0.78,0.99,0.44,0.44,0.56,0.33,0.33,0.78,0.99,0.78,0.78
trans bilbao;7;5;-2;320;0.35;http://www.electricistabarato.es/electro-trans-bilbao/;5.44;0.53;0.16;532000;0.44,0.67,0.67,0.99,0.99,0.82,0.82,0.82,0.82,0.82,0.67,0.54
electricistas baratos;3;4;1;90;5.52;http://www.electricistabarato.es/;3.44;5.34;0.95;719000;0.19,0.19,0.19,0.10,0.43,0.43,0.33,0.52,0.67,0.67,0.99,0.52
precio hora electricista;4;4;0;90;1.82;http://www.electricistabarato.es/precio-para-reparar-una-averia-electrica/;2.68;1.37;0.65;390000;0.50,0.50,0.64,0.64,0.79,0.99,0.99,0.64,0.50,0.36,0.64,0.79
electricistas malaga;11;10;-1;90;6.05;http://www.electricistabarato.es/electricistas/malaga/;1.80;3.06;0.90;398000;0.33,0.33,0.81,0.99,0.33,0.14,0.33,0.43,0.33,0.24,0.24,0.24
electricistas lleida;3;3;0;30;0.76;http://www.electricistabarato.es/electricistas/lleida/;1.14;0.24;0.81;392000;0.99,0.78,0.44,0.33,0.22,0.22,0.22,0.11,0.22,0.22,0.22,0.22
montajes ortiz;9;0;0;50;0.00;http://www.electricistabarato.es/montajes-ortiz-fuenlabrada/;0.63;0.00;0.00;373000;0.56,0.44,0.44,0.44,0.56,0.33,0.56,0.99,0.44,0.44,0.44,0.56
electricista lleida;4;4;0;20;0.75;http://www.electricistabarato.es/electricistas/lleida/;0.59;0.12;0.78;378000;0.75,0.25,0.50,0.25,0.25,0.25,0.75,0.50,0.75,0.25,0.75,0.99
