Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
pedir presupuesto;1;1;0;110;2.94;http://www.hazmeprecio.com/pedir-presupuesto;3.11;6.23;0.66;16500000;0.82,0.65,0.99,0.53,0.53,0.65,0.53,0.65,0.53,0.82,0.82,0.82
presupuesto online;1;1;0;110;2.85;http://www.hazmeprecio.com/;3.11;6.04;0.61;9790000;0.82,0.65,0.65,0.65,0.65,0.41,0.82,0.82,0.99,0.53,0.82,0.65
presupuestos online;2;2;0;260;2.08;http://www.hazmeprecio.com/;2.03;2.88;0.69;8970000;0.81,0.99,0.54,0.35,0.35,0.28,0.44,0.54,0.54,0.35,0.44,0.54
cuanto cuesta un armario empotrado;1;3;2;50;0.56;http://www.hazmeprecio.com/presupuesto/armarios-empotrados;1.41;0.54;0.48;39000;0.99,0.71,0.71,0.71,0.56,0.71,0.71,0.99,0.99,0.56,0.71,0.71
tela asfaltica precio;11;11;0;480;0.64;http://www.hazmeprecio.com/presupuesto/tela-asfaltica;1.35;0.59;0.42;80000;0.82,0.67,0.55,0.24,0.44,0.67,0.99,0.82,0.30,0.24,0.55,0.44
microcemento precio m2;6;5;-1;390;1.52;http://www.hazmeprecio.com/presupuesto/colocacion-microcemento;1.17;1.21;0.91;118000;0.67,0.54,0.81,0.99,0.44,0.54,0.99,0.99,0.81,0.44,0.54,0.99
precio quitar gotele m2;1;1;0;40;1.23;http://www.hazmeprecio.com/presupuesto/quitar-gotele;1.13;0.94;0.52;39000;0.33,0.22,0.33,0.22,0.33,0.33,0.33,0.22,0.56,0.78,0.99,0.56
precio lacar puertas blanco;1;2;1;40;0.90;http://www.hazmeprecio.com/presupuesto/lacar-puertas;1.13;0.69;0.50;70000;0.33,0.11,0.11,0.11,0.22,0.22,0.22,0.33,0.99,0.99,0.78,0.44
cuanto cuesta hacer un armario empotrado;1;1;0;40;0.78;http://www.hazmeprecio.com/presupuesto/armarios-empotrados;1.13;0.60;0.54;20000;0.56,0.33,0.44,0.44,0.33,0.99,0.33,0.22,0.44,0.33,0.44,0.44
precio lacar puertas en blanco;2;2;0;140;0.64;http://www.hazmeprecio.com/presupuesto/lacar-puertas;1.09;0.47;0.61;70000;0.28,0.22,0.28,0.28,0.34,0.44,0.66,0.28,0.28,0.16,0.66,0.99
solicitar presupuestos;5;4;-1;320;1.92;http://www.hazmeprecio.com/presupuesto/reforma;0.96;1.26;0.03;17900000;0.18,0.36,0.82,0.82,0.67,0.99,0.82,0.82,0.82,0.99,0.82,0.67
pedir presupuestos;3;3;0;170;1.39;http://www.hazmeprecio.com/pedir-presupuesto;0.92;0.87;0.59;1170000;0.28,0.44,0.99,0.82,0.82,0.82,0.67,0.18,0.05,0.08,0.05,0.08
pintar piso;11;11;0;320;1.24;http://www.hazmeprecio.com/presupuesto/pintar-piso/barcelona;0.90;0.76;0.46;837000;0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67
precio tela asfaltica;11;11;0;260;0.50;http://www.hazmeprecio.com/presupuesto/tela-asfaltica;0.73;0.25;0.41;80000;0.81,0.66,0.81,0.66,0.66,0.66,0.81,0.99,0.81,0.81,0.81,0.81
cuanto cuesta instalar aire acondicionado;2;2;0;90;1.99;http://www.hazmeprecio.com/presupuesto/instalacion-aire-acondicionado;0.70;0.95;0.76;86000;0.33,0.14,0.52,0.99,0.99,0.43,0.24,0.10,0.33,0.24,0.33,0.33
porches de obra;10;8;-2;390;0.71;http://www.hazmeprecio.com/presupuesto/construir-porche;0.70;0.34;0.45;640000;0.67,0.44,0.54,0.54,0.54,0.44,0.67,0.24,0.36,0.44,0.67,0.99
cuanto cuesta pintar un piso;5;5;0;210;1.05;http://www.hazmeprecio.com/presupuesto/pintar-piso;0.63;0.45;0.50;107000;0.65,0.81,0.81,0.99,0.99,0.99,0.99,0.81,0.81,0.54,0.81,0.99
precio quitar gotele;7;7;0;260;1.04;http://www.hazmeprecio.com/presupuesto/quitar-gotele;0.62;0.44;0.74;74000;0.66,0.66,0.66,0.66,0.53,0.66,0.66,0.81,0.99,0.81,0.99,0.99
presupuesto reforma integral;11;12;1;210;2.79;http://www.hazmeprecio.com/presupuesto/reforma-integral;0.59;1.12;0.86;732000;0.99,0.99,0.54,0.28,0.18,0.28,0.44,0.54,0.54,0.36,0.82,0.99
vallado de fincas;11;11;0;210;0.41;http://www.hazmeprecio.com/presupuesto/vallar-finca;0.59;0.16;0.69;409000;0.81,0.81,0.99,0.65,0.42,0.54,0.81,0.99,0.65,0.65,0.99,0.81
precio bloque hormigon 40x20x20;4;4;0;140;1.58;http://www.hazmeprecio.com/presupuesto/bloques-de-hormigon;0.58;0.63;0.13;3000;0.42,0.65,0.81,0.27,0.27,0.19,0.27,0.27,0.81,0.99,0.65,0.42
precio pintar piso;4;8;4;140;1.53;http://www.hazmeprecio.com/presupuesto/pintar-piso;0.58;0.61;0.64;520000;0.99,0.99,0.67,0.52,0.52,0.52,0.67,0.67,0.81,0.52,0.81,0.67
precio reforma baño;9;11;2;320;1.74;http://www.hazmeprecio.com/presupuesto/reforma-ba%C3%B1o;0.57;0.68;0.85;7930000;0.82,0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.67,0.99,0.99
precio instalacion aire acondicionado;9;9;0;320;1.64;http://www.hazmeprecio.com/presupuesto/instalacion-aire-acondicionado;0.57;0.64;0.94;724000;0.44,0.54,0.67,0.99,0.82,0.44,0.36,0.28,0.24,0.28,0.36,0.36
