Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
reparaciones del hogar;1;1;0;390;1.07;https://www.hogar-soluciones.es/;34.98;25.04;0.60;1090000;0.36,0.36,0.36,0.30,0.24,0.30,0.24,0.30,0.36,0.99,0.99,0.55
albañileria;11;11;0;1000;1.95;https://www.hogar-soluciones.es/servicios/albanileria;8.96;11.70;0.39;678000;0.99,0.77,0.77,0.68,0.68,0.55,0.77,0.77,0.77,0.77,0.77,0.77
reparacion de electrodomesticos;11;9;-2;880;3.68;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;7.89;19.43;0.80;603000;0.77,0.68,0.77,0.99,0.55,0.55,0.55,0.68,0.55,0.55,0.68,0.55
tecnicos de electrodomesticos;1;1;0;70;1.35;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;6.27;5.67;0.81;1320000;0.71,0.71,0.71,0.99,0.99,0.71,0.99,0.99,0.71,0.99,0.99,0.71
reparaciones;6;6;0;590;1.05;https://www.hogar-soluciones.es/;5.62;3.95;0.21;34100000;0.59,0.59,0.48,0.48,0.48,0.48,0.48,0.59,0.99,0.72,0.72,0.72
pintores de casas;1;1;0;50;0.89;http://www.hogar-soluciones.es/servicios/pintura;4.48;2.67;0.65;788000;0.78,0.78,0.99,0.56,0.56,0.33,0.78,0.44,0.56,0.33,0.78,0.78
reparaciones de hogar;1;1;0;40;0.32;https://www.hogar-soluciones.es/;3.58;0.76;0.51;1090000;0.60,0.80,0.99,0.60,0.40,0.40,0.60,0.60,0.99,0.99,0.40,0.80
reparaciones en el hogar;1;2;1;40;0.60;https://www.hogar-soluciones.es/;3.58;1.44;0.68;1100000;0.56,0.22,0.56,0.44,0.33,0.33,0.22,0.56,0.99,0.33,0.33,0.44
inter partner assistance;11;13;2;320;0.00;https://www.hogar-soluciones.es/;2.87;0.00;0.00;127000000;0.99,0.67,0.67,0.82,0.67,0.44,0.67,0.67,0.82,0.82,0.82,0.99
reparaciones hogar;2;1;-1;110;1.22;https://www.hogar-soluciones.es/;2.72;2.22;0.86;1100000;0.79,0.64,0.64,0.79,0.64,0.36,0.99,0.50,0.79,0.79,0.79,0.79
reparacion hogar;1;0;0;20;0.85;https://www.hogar-soluciones.es/;1.79;1.02;0.53;709000;0.67,0.67,0.33,0.99,0.99,0.33,0.33,0.33,0.33,0.67,0.33,0.33
reparacion electrodomesticos;12;10;-2;720;3.13;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;1.78;3.74;0.81;535000;0.99,0.99,0.82,0.82,0.99,0.82,0.99,0.99,0.82,0.67,0.82,0.67
empresas de pintura;6;8;2;140;1.65;http://www.hogar-soluciones.es/servicios/pintura;1.33;1.47;0.89;20800000;0.99,0.81,0.67,0.52,0.52,0.43,0.81,0.99,0.67,0.67,0.81,0.81
reparaciones electrodomesticos;7;3;-4;170;4.05;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;1.29;3.51;0.85;497000;0.81,0.67,0.99,0.52,0.67,0.81,0.67,0.81,0.81,0.67,0.99,0.52
empresa de pintura;3;4;1;70;1.82;http://www.hogar-soluciones.es/servicios/pintura;1.20;1.46;0.89;26000000;0.82,0.64,0.45,0.45,0.36,0.27,0.45,0.64,0.64,0.99,0.82,0.82
reparaciones de electrodomesticos;9;9;0;210;4.40;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;1.20;3.54;0.82;3050000;0.54,0.54,0.67,0.54,0.54,0.99,0.44,0.54,0.44,0.54,0.54,0.54
tecnico de electrodomesticos;5;5;0;110;2.24;https://www.hogar-soluciones.es/servicios/servicio_Tecnico;1.04;1.57;0.85;1090000;0.53,0.65,0.53,0.53,0.65,0.53,0.53,0.82,0.82,0.65,0.99,0.53
empresa de pintores;2;4;2;40;1.52;http://www.hogar-soluciones.es/servicios/pintura;0.99;1.00;0.88;2050000;0.99,0.80,0.80,0.40,0.40,0.40,0.80,0.60,0.40,0.80,0.99,0.80
servicios de reparaciones del hogar;1;2;1;10;0.98;https://www.hogar-soluciones.es/;0.89;0.58;0.94;1830000;0.99,0.99,0.99,0.00,0.99,0.99,0.99,0.99,0.00,0.99,0.99,0.99
reparacion del hogar;1;0;0;10;0.63;https://www.hogar-soluciones.es/;0.89;0.37;0.92;18200000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
pintores profesionales;6;6;0;90;1.51;http://www.hogar-soluciones.es/servicios/pintura;0.85;0.86;0.83;907000;0.99,0.65,0.82,0.28,0.53,0.24,0.53,0.41,0.41,0.41,0.41,0.41
todo reparaciones;2;2;0;30;1.06;https://www.hogar-soluciones.es/;0.74;0.52;0.15;19300000;0.40,0.20,0.40,0.20,0.20,0.20,0.60,0.80,0.99,0.40,0.60,0.60
reparaciones electricas;7;9;2;90;1.98;http://www.hogar-soluciones.es/servicios/electricidad;0.68;0.91;0.83;582000;0.99,0.79,0.36,0.50,0.50,0.64,0.50,0.50,0.79,0.50,0.64,0.36
empresas de pintores;3;3;0;40;1.50;http://www.hogar-soluciones.es/servicios/pintura;0.68;0.68;0.93;1750000;0.99,0.20,0.60,0.20,0.60,0.60,0.80,0.99,0.40,0.60,0.99,0.99
pintor de casas;4;4;0;40;1.80;http://www.hogar-soluciones.es/servicios/pintura;0.53;0.64;0.46;11800000;0.56,0.33,0.44,0.44,0.33,0.33,0.22,0.44,0.33,0.11,0.33,0.99
