Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
electricistas madrid;5;5;0;1600;12.50;http://www.hrzelectricistasmadrid.com/;39.40;55.71;0.89;679000;0.79,0.67,0.79,0.67,0.67,0.42,0.54,0.67,0.99,0.79,0.67,0.42
electricistas;11;10;-1;880;4.38;http://www.hrzelectricistasmadrid.com/;20.37;10.09;0.81;1550000;0.88,0.88,0.88,0.88,0.72,0.59,0.88,0.88,0.99,0.99,0.99,0.88
electricista madrid;6;6;0;480;11.89;http://www.hrzelectricistasmadrid.com/;11.82;15.89;0.95;541000;0.39,0.39,0.88,0.48,0.39,0.26,0.39,0.48,0.99,0.72,0.59,0.32
boletin electrico;10;10;0;720;4.19;http://www.hrzelectricistasmadrid.com/boletin-electrico-madrid.php;10.64;5.04;0.82;1570000;0.67,0.55,0.99,0.82,0.99,0.44,0.82,0.82,0.82,0.82,0.82,0.82
boletines electricos;9;9;0;390;4.20;http://www.hrzelectricistasmadrid.com/boletin-electrico-madrid.php;5.76;2.73;0.73;294000;0.36,0.36,0.36,0.36,0.54,0.36,0.54,0.66,0.99,0.81,0.99,0.81
boletin electrico madrid;3;3;0;110;7.86;http://www.hrzelectricistasmadrid.com/boletin-electrico-madrid.php;4.87;4.33;0.93;51000;0.99,0.79,0.99,0.99,0.79,0.64,0.79,0.79,0.50,0.64,0.79,0.99
electricista 24 horas;3;5;2;70;5.69;http://www.hrzelectricistasmadrid.com/electricista-urgente-madrid.php;3.10;1.99;0.77;656000;0.64,0.64,0.64,0.36,0.45,0.45,0.64,0.64,0.64,0.99,0.82,0.82
electricista urgente;4;4;0;70;3.71;http://www.hrzelectricistasmadrid.com/electricista-urgente-madrid.php;2.41;1.01;0.82;453000;0.53,0.41,0.53,0.24,0.24,0.99,0.28,0.41,0.65,0.41,0.41,0.24
electricistas en madrid;12;13;1;320;10.32;http://www.hrzelectricistasmadrid.com/;2.04;2.39;0.50;538000;0.82,0.82,0.82,0.82,0.99,0.82,0.82,0.82,0.99,0.99,0.82,0.67
electricistas 24 horas;7;7;0;70;2.10;http://www.hrzelectricistasmadrid.com/electricista-urgente-madrid.php;1.37;0.32;0.80;651000;0.82,0.82,0.99,0.36,0.64,0.36,0.45,0.64,0.99,0.82,0.64,0.45
electricistas urgentes;8;8;0;40;1.17;http://www.hrzelectricistasmadrid.com/electricista-urgente-madrid.php;0.59;0.07;0.99;480000;0.43,0.99,0.99,0.56,0.71,0.28,0.28,0.71,0.56,0.43,0.14,0.14
electricista en madrid;12;13;1;70;10.74;http://www.hrzelectricistasmadrid.com/;0.44;0.54;0.96;550000;0.50,0.36,0.36,0.50,0.79,0.36,0.64,0.50,0.99,0.50,0.36,0.28
electricistas urgencias;7;0;0;20;1.57;http://www.hrzelectricistasmadrid.com/electricista-urgente-madrid.php;0.39;0.06;0.94;472000;0.75,0.99,0.99,0.75,0.25,0.25,0.25,0.25,0.75,0.99,0.50,0.25
electricistas 24h;11;0;0;10;0.00;http://www.hrzelectricistasmadrid.com/electricista-urgente-madrid.php;0.23;0.00;0.93;376000;0.50,0.50,0.99,0.50,0.50,0.50,0.50,0.50,0.99,0.50,0.50,0.50
electricistas alcobendas;17;0;0;70;8.35;http://www.hrzelectricistasmadrid.com/electricistas-alcobendas.php;0.13;0.13;0.85;105000;0.36,0.50,0.36,0.36,0.64,0.79,0.50,0.64,0.99,0.79,0.50,0.14
boletín eléctrico;15;16;1;40;2.92;http://www.hrzelectricistasmadrid.com/boletin-electrico-madrid.php;0.09;0.03;0.72;2280000;0.60,0.60,0.40,0.60,0.60,0.99,0.99,0.80,0.80,0.80,0.80,0.60
electricistas de madrid;14;0;0;10;10.47;http://www.hrzelectricistasmadrid.com/;0.03;0.04;0.96;774000;0.33,0.33,0.33,0.33,0.33,0.99,0.33,0.33,0.67,0.67,0.33,0.33
comunidad de madrid boletin;18;15;-3;20;0.00;http://www.hrzelectricistasmadrid.com/boletin-electrico-madrid.php;0.02;0.00;0.00;518000;0.99,0.50,0.25,0.25,0.50,0.25,0.25,0.50,0.25,0.50,0.25,0.50
