Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
pintores en valencia;11;11;0;1600;1.64;http://www.pintorist.es/pintores-valencia-p46;18.94;19.85;0.31;483000;0.34,0.66,0.66,0.30,0.17,0.25,0.34,0.30,0.99,0.83,0.83,0.55
presupuesto pintar casa;1;2;1;110;1.44;http://www.pintorist.es/articulos/cuanto-cuesta-pintar-un-piso-o-pintar-una-casa-a1;13.02;11.98;0.74;603000;0.43,0.33,0.52,0.99,0.67,0.67,0.67,0.33,0.52,0.67,0.67,0.52
cuanto cuesta pintar un piso;2;3;1;210;1.05;http://www.pintorist.es/articulos/cuanto-cuesta-pintar-un-piso-o-pintar-una-casa-a1;6.87;4.61;0.50;107000;0.65,0.81,0.81,0.99,0.99,0.99,0.99,0.81,0.81,0.54,0.81,0.99
precio pintar piso;2;2;0;140;1.53;http://www.pintorist.es/articulos/cuanto-cuesta-pintar-un-piso-o-pintar-una-casa-a1;4.58;4.48;0.64;520000;0.99,0.99,0.67,0.52,0.52,0.52,0.67,0.67,0.81,0.52,0.81,0.67
pintores en zaragoza;10;10;0;590;1.63;http://www.pintorist.es/pintores-zaragoza-p50;4.45;4.64;0.40;610000;0.07,0.68,0.53,0.11,0.14,0.17,0.99,0.46,0.21,0.14,0.07,0.11
presupuesto pintar piso;3;3;0;170;1.81;http://www.pintorist.es/articulos/cuanto-cuesta-pintar-un-piso-o-pintar-una-casa-a1;3.85;4.45;0.73;411000;0.99,0.81,0.81,0.42,0.65,0.54,0.65,0.81,0.54,0.65,0.81,0.65
presupuesto pintura casa;1;2;1;30;2.64;http://www.pintorist.es/articulos/cuanto-cuesta-pintar-un-piso-o-pintar-una-casa-a1;3.55;5.99;0.82;909000;0.14,0.14,0.28,0.28,0.99,0.14,0.43,0.14,0.43,0.14,0.71,0.99
pintar piso;10;13;3;320;1.24;http://www.pintorist.es/articulos/cuanto-cuesta-pintar-un-piso-o-pintar-una-casa-a1;2.41;1.91;0.46;837000;0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67
pintores barcelona;10;8;-2;320;2.31;http://www.pintorist.es/pintores-barcelona-p8;2.41;3.57;0.89;695000;0.54,0.44,0.54,0.54,0.67,0.44,0.67,0.99,0.81,0.54,0.99,0.99
pintar piso precio;2;2;0;70;1.50;http://www.pintorist.es/articulos/cuanto-cuesta-pintar-un-piso-o-pintar-una-casa-a1;2.29;2.19;0.69;521000;0.53,0.24,0.28,0.24,0.18,0.12,0.53,0.53,0.53,0.53,0.82,0.99
pintores en barcelona;8;8;0;260;2.76;http://www.pintorist.es/pintores-barcelona-p8;1.96;3.46;0.89;730000;0.54,0.35,0.44,0.54,0.54,0.54,0.67,0.99,0.44,0.44,0.44,0.44
pintores en sevilla;4;5;1;110;2.13;http://www.pintorist.es/pintores-sevilla-p41;1.93;2.64;0.71;602000;0.65,0.65,0.65,0.53,0.53,0.53,0.65,0.65,0.65,0.99,0.82,0.99
graffiti soria;7;9;2;170;1.43;http://www.pintorist.es/pintores/graffiti-soria-sl-e1600;1.71;1.56;0.01;263000;0.54,0.54,0.81,0.99,0.81,0.81,0.65,0.65,0.65,0.54,0.42,0.54
