Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
reformas integrales;2;2;0;3600;3.51;http://planreforma.com/;13.74;23.01;0.88;690000;0.82,0.66,0.82,0.66,0.66,0.55,0.82,0.99,0.99,0.99,0.99,0.99
reformas;4;3;-1;4400;1.61;http://planreforma.com/;9.04;6.94;0.88;61500000;0.99,0.99,0.99,0.81,0.81,0.67,0.99,0.99,0.99,0.67,0.99,0.99
reforma integral;1;1;0;390;2.87;http://planreforma.com/blog/las-10-cosas-que-debes-saber-al-hacer-una-reforma-integral/;5.38;7.37;0.70;688000;0.66,0.54,0.66,0.66,0.54,0.54,0.54,0.81,0.66,0.44,0.66,0.99
reformas pisos;1;1;0;210;2.99;http://planreforma.com/;2.89;4.13;0.78;1240000;0.81,0.42,0.81,0.54,0.65,0.54,0.65,0.81,0.99,0.81,0.99,0.81
piscinas desbordantes;2;2;0;390;1.04;http://planreforma.com/blog/piscinas-desbordantes-o-piscinas-infinitas/;1.48;0.73;0.78;166000;0.66,0.66,0.54,0.81,0.99,0.81,0.54,0.54,0.44,0.28,0.54,0.54
cuanto cuesta un ascensor;1;1;0;90;1.05;http://planreforma.com/blog/cuanto-cuesta-instalar-un-ascensor-en-un-edificio-antigua-y-otros-aspectos-tecnicos-a-tener-en-cuenta/;1.24;0.62;0.80;249000;0.82,0.64,0.82,0.64,0.45,0.64,0.99,0.82,0.82,0.64,0.82,0.82
presupuesto reforma;2;1;-1;320;4.00;http://planreforma.com/;1.22;2.33;0.91;39600000;0.99,0.66,0.54,0.54,0.44,0.28,0.44,0.54,0.66,0.54,0.66,0.54
cuanto cuesta construir una casa;11;6;-5;880;0.47;http://planreforma.com/calculador-obra_nueva/;1.21;0.27;0.51;1010000;0.72,0.59,0.72,0.59,0.72,0.99,0.99,0.99,0.88,0.72,0.88,0.88
el croquis;10;10;0;1300;0.27;http://planreforma.com/ayuda/usuario/como_hacer_croquis/;1.14;0.14;0.00;674000;0.84,0.68,0.68,0.46,0.53,0.46,0.68,0.99,0.84,0.84,0.68,0.68
ventanas pvc o aluminio;3;2;-1;390;0.74;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;1.03;0.36;0.68;681000;0.36,0.36,0.36,0.36,0.28,0.36,0.44,0.54,0.67,0.54,0.82,0.99
cuanto cuesta reformar un baño;3;3;0;390;1.69;http://planreforma.com/blog/cuanto-cuesta-reformar-un-bano/;1.03;0.83;0.79;36000;0.54,0.54,0.54,0.54,0.54,0.54,0.81,0.66,0.66,0.66,0.99,0.81
cuanto cuesta reformar un piso;3;3;0;390;2.15;http://planreforma.com/blog/cuanto-cuesta-reformar-un-piso/;1.03;1.05;0.72;42000;0.66,0.44,0.36,0.36,0.44,0.54,0.66,0.66,0.66,0.66,0.99,0.81
presupuesto reforma casa;1;1;0;70;2.41;http://planreforma.com/;0.96;1.11;0.94;13500000;0.56,0.44,0.78,0.78,0.99,0.78,0.78,0.78,0.78,0.44,0.78,0.78
cuanto cuesta poner un ascensor;1;1;0;70;2.57;http://planreforma.com/blog/cuanto-cuesta-instalar-un-ascensor-en-un-edificio-antigua-y-otros-aspectos-tecnicos-a-tener-en-cuenta/;0.96;1.18;0.77;101000;0.64,0.45,0.36,0.36,0.36,0.36,0.45,0.64,0.64,0.64,0.99,0.82
construir una casa;8;8;0;1000;0.81;http://planreforma.com/calculador-obra_nueva/;0.88;0.34;0.77;64300000;0.99,0.99,0.77,0.77,0.77,0.99,0.77,0.99,0.99,0.77,0.99,0.99
tarima sintetica exterior;4;5;1;390;1.45;http://planreforma.com/blog/tarima-de-exterior-de-madera-o-sintetica/;0.80;0.55;0.75;46000;0.81,0.67,0.99,0.99,0.81,0.67,0.99,0.81,0.54,0.28,0.54,0.81
