Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
electricistas madrid;1;1;0;1600;12.50;http://rbtelectricistasmadrid.es/;84.49;91.53;0.89;679000;0.79,0.67,0.79,0.67,0.67,0.42,0.54,0.67,0.99,0.79,0.67,0.42
electricistas;5;5;0;880;4.38;http://rbtelectricistasmadrid.es/;4.94;1.87;0.81;1550000;0.88,0.88,0.88,0.88,0.72,0.59,0.88,0.88,0.99,0.99,0.99,0.88
electricista;12;13;1;2400;3.19;http://rbtelectricistasmadrid.es/;3.50;0.96;0.77;12400000;0.53,0.44,0.53,0.53,0.53,0.44,0.99,0.81,0.67,0.67,0.81,0.67
electricistas en madrid;3;4;1;320;10.32;http://rbtelectricistasmadrid.es/;3.23;2.89;0.50;538000;0.82,0.82,0.82,0.82,0.99,0.82,0.82,0.82,0.99,0.99,0.82,0.67
electricista madrid;8;10;2;480;11.89;http://rbtelectricistasmadrid.es/;1.61;1.66;0.95;541000;0.39,0.39,0.88,0.48,0.39,0.26,0.39,0.48,0.99,0.72,0.59,0.32
electricistas baratos;4;3;-1;90;5.52;http://rbtelectricistasmadrid.es/;0.70;0.33;0.95;719000;0.19,0.19,0.19,0.10,0.43,0.43,0.33,0.52,0.67,0.67,0.99,0.52
rbt;15;18;3;1000;0.02;http://rbtelectricistasmadrid.es/;0.56;0.00;0.01;16800000;0.99,0.77,0.99,0.68,0.68,0.45,0.77,0.99,0.77,0.68,0.77,0.99
rbt;16;0;0;1000;0.02;http://rbtelectricistasmadrid.es/urgencias-24-horas.php;0.56;0.00;0.01;16800000;0.99,0.77,0.99,0.68,0.68,0.45,0.77,0.99,0.77,0.68,0.77,0.99
electricistas urgentes;3;3;0;40;1.17;http://rbtelectricistasmadrid.es/;0.40;0.04;0.99;480000;0.43,0.99,0.99,0.56,0.71,0.28,0.28,0.71,0.56,0.43,0.14,0.14
electricistas alcobendas;11;0;0;70;8.35;http://rbtelectricistasmadrid.es/baratos-alcobendas.php;0.36;0.26;0.85;105000;0.36,0.50,0.36,0.36,0.64,0.79,0.50,0.64,0.99,0.79,0.50,0.14
electricista 24 horas;7;7;0;70;5.69;http://rbtelectricistasmadrid.es/;0.31;0.15;0.77;656000;0.64,0.64,0.64,0.36,0.45,0.45,0.64,0.64,0.64,0.99,0.82,0.82
electricista en madrid;8;9;1;70;10.74;http://rbtelectricistasmadrid.es/;0.23;0.21;0.96;550000;0.50,0.36,0.36,0.50,0.79,0.36,0.64,0.50,0.99,0.50,0.36,0.28
electricista urgente;9;11;2;70;3.71;http://rbtelectricistasmadrid.es/;0.23;0.07;0.82;453000;0.53,0.41,0.53,0.24,0.24,0.99,0.28,0.41,0.65,0.41,0.41,0.24
electricistas urgencias;3;0;0;20;1.57;http://rbtelectricistasmadrid.es/;0.20;0.02;0.94;472000;0.75,0.99,0.99,0.75,0.25,0.25,0.25,0.25,0.75,0.99,0.50,0.25
electricistas de madrid;2;0;0;10;10.47;http://rbtelectricistasmadrid.es/;0.14;0.13;0.96;774000;0.33,0.33,0.33,0.33,0.33,0.99,0.33,0.33,0.67,0.67,0.33,0.33
electricistas las rozas;10;10;0;40;12.17;http://rbtelectricistasmadrid.es/baratos-las-rozas.php;0.13;0.14;0.80;110000;0.45,0.64,0.09,0.18,0.18,0.18,0.27,0.27,0.45,0.99,0.36,0.45
boletin electrico madrid;17;19;2;110;7.86;http://rbtelectricistasmadrid.es/boletines-instalaciones-electricas.php;0.04;0.03;0.93;51000;0.99,0.79,0.99,0.99,0.79,0.64,0.79,0.79,0.50,0.64,0.79,0.99
trabajo electricista madrid;17;18;1;70;0.03;http://rbtelectricistasmadrid.es/;0.03;0.00;0.54;439000;0.64,0.28,0.21,0.36,0.50,0.64,0.99,0.50,0.28,0.36,0.50,0.28
electricistas 24 horas;19;18;-1;70;2.10;http://rbtelectricistasmadrid.es/;0.02;0.00;0.80;651000;0.82,0.82,0.99,0.36,0.64,0.36,0.45,0.64,0.99,0.82,0.64,0.45
electricista barato;18;18;0;50;4.09;http://rbtelectricistasmadrid.es/;0.01;0.00;0.77;850000;0.78,0.78,0.99,0.44,0.44,0.56,0.33,0.33,0.78,0.99,0.78,0.78
electricistas autorizados;20;20;0;20;0.78;http://rbtelectricistasmadrid.es/baratos-getafe.php;0.00;0.00;0.82;439000;0.67,0.33,0.33,0.33,0.67,0.33,0.99,0.67,0.33,0.67,0.99,0.67
