Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
cuanto cuesta reformar una cocina;1;2;1;260;1.63;http://blog.redformas.es/cuanto-cuesta-reformar-una-cocina/;14.81;10.73;0.64;39000;0.67,0.54,0.67,0.44,0.54,0.44,0.67,0.67,0.67,0.54,0.99,0.82
solicitar presupuestos;2;2;0;320;1.92;http://www.redformas.es/pedir-presupuesto/;5.04;4.30;0.03;17900000;0.18,0.36,0.82,0.82,0.67,0.99,0.82,0.82,0.82,0.99,0.82,0.67
presupuestos obras;1;1;0;70;3.06;http://www.redformas.es/;3.98;5.42;0.93;26600000;0.82,0.99,0.82,0.64,0.45,0.27,0.45,0.64,0.64,0.36,0.64,0.64
presupuestos obras y reformas;1;1;0;50;4.07;http://www.redformas.es/;2.84;5.15;0.89;565000;0.36,0.99,0.27,0.09,0.36,0.36,0.45,0.45,0.45,0.45,0.36,0.64
presupuestos de obras;1;1;0;50;3.07;http://www.redformas.es/;2.84;3.88;0.93;27100000;0.99,0.56,0.99,0.56,0.43,0.28,0.71,0.99,0.56,0.71,0.71,0.99
presupuesto reforma baño;3;3;0;260;1.89;http://blog.redformas.es/cual-es-el-precio-de-reformar-un-bano/;2.83;2.38;0.87;503000;0.82,0.67,0.67,0.67,0.99,0.54,0.67,0.67,0.67,0.67,0.82,0.67
precio reforma baño;4;4;0;320;1.74;http://blog.redformas.es/cual-es-el-precio-de-reformar-un-bano/;2.71;2.10;0.85;7930000;0.82,0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.67,0.99,0.99
cuanto cuesta reformar un baño;6;9;3;390;1.69;http://blog.redformas.es/cual-es-el-precio-de-reformar-un-bano/;2.36;1.77;0.79;36000;0.54,0.54,0.54,0.54,0.54,0.54,0.81,0.66,0.66,0.66,0.99,0.81
cuanto cuesta reformar un baño;5;4;-1;390;1.69;http://blog.redformas.es/cuanto-cuesta-reformar-un-bano/;2.36;1.77;0.79;36000;0.54,0.54,0.54,0.54,0.54,0.54,0.81,0.66,0.66,0.66,0.99,0.81
presupuestos de reformas;6;6;0;390;4.58;http://www.redformas.es/;2.36;4.81;0.86;11900000;0.81,0.99,0.66,0.54,0.44,0.44,0.66,0.66,0.66,0.66,0.44,0.44
presupuesto obras;1;1;0;40;2.23;http://www.redformas.es/;2.27;2.25;0.74;51200000;0.43,0.43,0.99,0.71,0.56,0.43,0.43,0.43,0.71,0.43,0.43,0.71
presupuesto reforma;5;5;0;320;4.00;http://www.redformas.es/;1.93;3.44;0.91;39600000;0.99,0.66,0.54,0.54,0.44,0.28,0.44,0.54,0.66,0.54,0.66,0.54
reparar tarima flotante;2;2;0;110;1.68;http://blog.redformas.es/reparar-tarima-flotante/;1.73;1.29;0.41;46000;0.64,0.64,0.79,0.64,0.50,0.79,0.64,0.79,0.79,0.50,0.99,0.79
cuanto puede costar reformar una cocina;1;1;0;30;1.53;http://blog.redformas.es/cuanto-cuesta-reformar-una-cocina/;1.70;1.16;0.81;198000;0.80,0.99,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60
presupuestos reformas;6;8;2;260;4.38;http://www.redformas.es/;1.57;3.06;0.86;11800000;0.99,0.81,0.99,0.99,0.53,0.53,0.81,0.99,0.81,0.66,0.81,0.81
cuanto cuesta una cocina;3;2;-1;140;0.82;http://blog.redformas.es/cuanto-cuesta-reformar-una-cocina/;1.52;0.55;0.28;1750000;0.82,0.65,0.53,0.65,0.65,0.65,0.82,0.65,0.99,0.65,0.99,0.99
presupuesto obra;3;2;-1;140;1.88;http://www.redformas.es/;1.52;1.27;0.73;43400000;0.65,0.65,0.82,0.99,0.82,0.53,0.82,0.82,0.82,0.65,0.99,0.82
reforma baño precio;4;4;0;170;2.11;http://blog.redformas.es/cual-es-el-precio-de-reformar-un-bano/;1.44;1.35;0.87;7900000;0.66,0.53,0.34,0.22,0.66,0.53,0.53,0.28,0.53,0.66,0.99,0.81
pedir presupuesto;3;4;1;110;2.94;http://www.redformas.es/pedir-presupuesto/;1.20;1.56;0.66;16500000;0.82,0.65,0.99,0.53,0.53,0.65,0.53,0.65,0.53,0.82,0.82,0.82
reformar baño precio;3;4;1;110;1.47;http://blog.redformas.es/cual-es-el-precio-de-reformar-un-bano/;1.20;0.78;0.90;3060000;0.42,0.35,0.42,0.42,0.27,0.27,0.27,0.35,0.42,0.54,0.81,0.99
presupuestos gratis;3;3;0;110;1.31;http://www.redformas.es/;1.20;0.69;0.73;8820000;0.52,0.81,0.99,0.81,0.43,0.33,0.52,0.52,0.43,0.43,0.33,0.43
acuchillar parquet precio;11;10;-1;210;2.38;http://blog.redformas.es/precio-acuchillar-parquet/;1.19;1.26;0.77;42000;0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99
