Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
reformas integrales;1;1;0;3600;3.51;http://www.reformadisimo.es/;84.64;83.40;0.88;690000;0.82,0.66,0.82,0.66,0.66,0.55,0.82,0.99,0.99,0.99,0.99,0.99
reformas integrales madrid;3;3;0;1600;4.84;http://www.reformadisimo.es/;7.20;9.78;0.83;521000;0.84,0.68,0.99,0.84,0.53,0.46,0.68,0.53,0.68,0.99,0.99,0.84
reformas de cocinas;6;5;-1;590;2.34;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;1.47;0.96;0.88;926000;0.59,0.48,0.59,0.59,0.48,0.48,0.59,0.59,0.59,0.59,0.88,0.99
reformas cocinas;6;6;0;480;2.25;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;1.20;0.75;0.85;926000;0.66,0.81,0.81,0.81,0.54,0.66,0.66,0.66,0.81,0.66,0.99,0.99
reformas integrales en madrid;3;3;0;260;3.77;http://www.reformadisimo.es/;1.17;1.23;0.87;519000;0.54,0.67,0.82,0.99,0.54,0.44,0.54,0.82,0.54,0.67,0.44,0.67
reformas cocinas madrid;2;2;0;140;3.61;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.91;0.92;0.77;727000;0.99,0.81,0.42,0.65,0.42,0.42,0.81,0.35,0.35,0.42,0.54,0.54
reforma cocina;8;8;0;590;1.91;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.88;0.47;0.79;18800000;0.55,0.55,0.55,0.44,0.55,0.55,0.55,0.55,0.67,0.55,0.82,0.99
reforma integral madrid;3;3;0;90;3.53;http://www.reformadisimo.es/;0.40;0.40;0.67;639000;0.41,0.28,0.53,0.65,0.65,0.24,0.41,0.53,0.28,0.28,0.53,0.99
reformar cocina;13;13;0;720;1.77;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.32;0.16;0.84;12800000;0.72,0.59,0.59,0.48,0.48,0.59,0.59,0.59,0.72,0.72,0.99,0.99
reforma cocina madrid;3;3;0;70;3.49;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.31;0.30;0.66;2010000;0.36,0.99,0.36,0.99,0.79,0.36,0.50,0.50,0.36,0.21,0.50,0.79
reforma de cocinas;6;10;4;110;2.33;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.27;0.17;0.89;1010000;0.99,0.82,0.53,0.65,0.53,0.53,0.65,0.53,0.65,0.53,0.99,0.82
reformas de cocinas en madrid;2;2;0;40;5.11;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.26;0.37;0.77;742000;0.78,0.99,0.56,0.22,0.56,0.44,0.44,0.56,0.78,0.11,0.22,0.22
reformas de cocinas madrid;2;2;0;40;3.19;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.26;0.23;0.93;527000;0.43,0.28,0.14,0.99,0.43,0.56,0.71,0.28,0.43,0.43,0.43,0.99
reforma de cocina;9;7;-2;170;3.03;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.25;0.21;0.81;17900000;0.81,0.67,0.67,0.67,0.67,0.81,0.81,0.67,0.67,0.67,0.99,0.99
reformas cocina;9;10;1;170;1.97;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.25;0.14;0.90;1960000;0.67,0.67,0.67,0.67,0.52,0.67,0.81,0.81,0.81,0.67,0.99,0.99
reforma cocinas;8;7;-1;90;2.29;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.13;0.08;0.85;856000;0.99,0.64,0.64,0.64,0.50,0.50,0.50,0.64,0.64,0.50,0.99,0.99
reforma de cocinas madrid;3;3;0;20;3.92;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.09;0.09;0.98;509000;0.99,0.50,0.75,0.50,0.25,0.50,0.99,0.25,0.25,0.25,0.25,0.25
reformas cocina madrid;3;3;0;20;4.28;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.09;0.10;1.00;745000;0.60,0.20,0.40,0.80,0.40,0.80,0.40,0.99,0.20,0.40,0.20,0.40
empresas de reformas integrales en madrid;9;8;-1;50;3.22;http://www.reformadisimo.es/;0.07;0.06;0.94;461000;0.99,0.56,0.22,0.56,0.99,0.56,0.78,0.22,0.22,0.22,0.78,0.33
cocinas reformas;10;9;-1;40;1.43;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.06;0.02;0.82;921000;0.56,0.28,0.71,0.28,0.43,0.71,0.99,0.71,0.56,0.56,0.99,0.71
reformas y cocinas;6;0;0;20;3.19;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.05;0.04;0.83;779000;0.67,0.33,0.33,0.33,0.67,0.33,0.67,0.67,0.99,0.67,0.99,0.99
reforma cocinas madrid;3;3;0;10;4.04;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.04;0.05;0.78;27300000;0.99,0.99,0.50,0.99,0.99,0.50,0.50,0.50,0.50,0.50,0.99,0.50
reformas de cocina;16;17;1;170;2.75;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.04;0.03;0.78;1950000;0.23,0.19,0.23,0.23,0.19,0.19,0.23,0.23,0.54,0.99,0.99,0.35
reforma en madrid;10;9;-1;20;2.04;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.03;0.01;0.86;53800000;0.67,0.33,0.99,0.33,0.67,0.33,0.67,0.67,0.67,0.67,0.33,0.99
reformas de restaurantes;5;7;2;10;4.76;http://www.reformadisimo.es/reformas-integrales-de-restaurantes-en-madrid;0.02;0.03;0.84;984000;0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.99,0.99,0.33,0.33,0.33
reformas restaurantes;5;6;1;10;1.60;http://www.reformadisimo.es/reformas-integrales-de-restaurantes-en-madrid;0.02;0.01;0.79;839000;0.99,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.67
reformas integrales de cocinas;5;0;0;10;2.78;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.02;0.01;0.89;504000;0.50,0.50,0.99,0.50,0.99,0.50,0.50,0.50,0.99,0.50,0.50,0.99
reforma madrid;14;11;-3;70;3.24;http://www.reformadisimo.es/;0.02;0.02;0.62;55700000;0.41,0.53,0.53,0.53,0.41,0.18,0.28,0.41,0.41,0.41,0.41,0.99
reformas cocinas y baños madrid;10;11;1;10;3.13;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.01;0.01;0.77;677000;0.67,0.33,0.99,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
reformas en cocinas;12;10;-2;20;3.01;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.01;0.01;0.81;876000;0.99,0.33,0.33,0.33,0.33,0.33,0.67,0.67,0.67,0.33,0.67,0.67
reformas oficinas madrid;15;14;-1;50;5.39;http://www.reformadisimo.es/;0.01;0.01;0.94;10200000;0.78,0.56,0.33,0.22,0.56,0.22,0.56,0.56,0.78,0.99,0.56,0.44
reformas completas viviendas;18;0;0;70;0.00;http://www.reformadisimo.es/reformas-integrales-de-viviendas-en-madrid;0.01;0.00;0.00;479000;0.05,0.14,0.05,0.33,0.43,0.99,0.52,0.99,0.43,0.43,0.19,0.00
reforma integral cocina;16;0;0;40;2.63;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.01;0.00;0.83;601000;0.44,0.44,0.44,0.44,0.33,0.22,0.44,0.22,0.33,0.99,0.44,0.56
reforma integral cocina;15;16;1;40;2.63;http://www.reformadisimo.es/proyectos/reforma-integral-de-cocina;0.01;0.00;0.83;601000;0.44,0.44,0.44,0.44,0.33,0.22,0.44,0.22,0.33,0.99,0.44,0.56
reformar cocinas;19;14;-5;50;1.98;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.00;0.00;0.84;465000;0.71,0.56,0.71,0.43,0.56,0.56,0.56,0.43,0.71,0.71,0.99,0.99
reformas en la cocina;14;11;-3;10;0.00;http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid;0.00;0.00;0.97;6240000;0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.50,0.50,0.99
reformas integral;18;0;0;20;1.92;http://www.reformadisimo.es/;0.00;0.00;0.94;25700000;0.33,0.33,0.33,0.67,0.99,0.33,0.33,0.99,0.67,0.33,0.67,0.99
empresa de reformas integrales;18;16;-2;20;0.00;http://www.reformadisimo.es/;0.00;0.00;0.93;668000;0.99,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.80,0.60,0.80,0.40
