Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
reparalia;1;1;0;40500;0.07;http://www.reparalia.es/;68.47;14.37;0.00;206000;0.99,0.82,0.82,0.82,0.82,0.82,0.99,0.99,0.82,0.82,0.82,0.82
reparalia profesionales;1;1;0;5400;0.00;http://www.clientes.reparalia.es/cgi-bin/fccgi.exe?w3exec=PROF_PASS;9.13;0.00;0.00;122000;0.54,0.44,0.36,0.54,0.67,0.44,0.54,0.54,0.99,0.99,0.99,0.67
reparalia direct;1;1;0;1900;0.02;http://www.reparalia.es/;3.21;0.19;0.04;10000;0.99,0.79,0.79,0.79,0.99,0.67,0.79,0.99,0.99,0.67,0.79,0.67
reparalia profesionales;2;2;0;5400;0.00;https://www.clientes.reparalia.es/cgi-bin/fccgi.exe?w3exec=lista_servicios_total;2.52;0.00;0.00;122000;0.54,0.44,0.36,0.54,0.67,0.44,0.54,0.54,0.99,0.99,0.99,0.67
fontaneros;1;1;0;1300;5.49;http://www.reparalia.es/fontaneros;2.19;36.19;0.85;922000;0.62,0.55,0.62,0.55,0.62,0.81,0.81,0.81,0.99,0.99,0.81,0.62
reparalia profesionales;3;3;0;5400;0.00;http://www.reparalia.es/;1.74;0.00;0.00;122000;0.54,0.44,0.36,0.54,0.67,0.44,0.54,0.54,0.99,0.99,0.99,0.67
tacos para pladur;1;1;0;880;0.18;http://www.reparalia.es/blog/2014/06/18/puedo-colgar-cosas-pesadas-de-una-pared-de-pladur/;1.48;0.80;0.10;105000;0.77,0.77,0.68,0.68,0.68,0.68,0.68,0.68,0.99,0.68,0.77,0.77
reparalia profesionales;4;4;0;5400;0.00;http://www.reparalia.es/conocenos/;1.35;0.00;0.00;122000;0.54,0.44,0.36,0.54,0.67,0.44,0.54,0.54,0.99,0.99,0.99,0.67
fontanero;2;2;0;2400;3.61;http://www.reparalia.es/fontaneros;1.12;12.15;0.73;1270000;0.83,0.83,0.83,0.99,0.99,0.66,0.83,0.99,0.99,0.99,0.99,0.99
chalk paint;10;11;1;9900;0.15;http://www.reparalia.es/blog/2014/10/23/los-6-motivos-por-los-que-la-chalk-paint-es-la-pintura-de-moda/;1.06;0.48;0.25;6150000;0.67,0.67,0.82,0.82,0.82,0.82,0.99,0.99,0.99,0.67,0.99,0.99
tacos pladur;1;1;0;480;0.28;http://www.reparalia.es/blog/2014/06/18/puedo-colgar-cosas-pesadas-de-una-pared-de-pladur/;0.81;0.68;0.10;81000;0.66,0.54,0.54,0.54,0.54,0.81,0.81,0.81,0.81,0.81,0.99,0.81
reformar cocina sin obras;1;1;0;260;1.37;http://www.reparalia.es/blog/2014/06/13/reforma-tu-cocina-sin-hacer-obra/;0.43;1.80;0.64;81000;0.99,0.81,0.66,0.24,0.19,0.44,0.81,0.66,0.24,0.12,0.19,0.19
electricista;5;3;-2;2400;3.19;http://www.reparalia.es/electricistas;0.43;4.13;0.77;12400000;0.53,0.44,0.53,0.53,0.53,0.44,0.99,0.81,0.67,0.67,0.81,0.67
electricistas;2;3;1;880;4.38;http://www.reparalia.es/electricistas;0.41;5.40;0.81;1550000;0.88,0.88,0.88,0.88,0.72,0.59,0.88,0.88,0.99,0.99,0.99,0.88
boletin electrico;2;2;0;720;4.19;http://www.reparalia.es/blog/2014/04/29/que-es-el-boletin-electrico-o-certificado-de-instalacion-electrica/;0.33;4.23;0.82;1570000;0.67,0.55,0.99,0.82,0.99,0.44,0.82,0.82,0.82,0.82,0.82,0.82
desatascador;3;3;0;1000;0.66;http://www.reparalia.es/blog/2014/04/01/como-usar-el-desatascador-y-evitar-atascos-en-tuberias/;0.32;0.64;0.61;195000;0.68,0.68,0.68,0.68,0.68,0.68,0.77,0.77,0.77,0.77,0.99,0.99
boletin instalacion electrica;1;1;0;170;3.52;http://www.reparalia.es/blog/2014/04/29/que-es-el-boletin-electrico-o-certificado-de-instalacion-electrica/;0.28;3.03;0.53;71000;0.81,0.67,0.81,0.81,0.81,0.67,0.81,0.99,0.99,0.99,0.99,0.99
reparalia direct s.l;1;1;0;170;0.02;http://www.reparalia.es/;0.28;0.01;0.03;7000;0.99,0.23,0.19,0.44,0.67,0.54,0.67,0.19,0.19,0.15,0.15,0.15
reformar cocina sin obra;1;1;0;170;1.62;http://www.reparalia.es/blog/2014/06/13/reforma-tu-cocina-sin-hacer-obra/;0.28;1.39;0.59;317000;0.06,0.06,0.06,0.28,0.28,0.19,0.19,0.28,0.44,0.44,0.99,0.81
tacos de pladur;1;1;0;140;0.32;http://www.reparalia.es/blog/2014/06/18/puedo-colgar-cosas-pesadas-de-una-pared-de-pladur/;0.23;0.22;0.11;104000;0.65,0.65,0.65,0.82,0.65,0.82,0.82,0.82,0.82,0.99,0.99,0.99
reparalia endesa;3;1;-2;720;0.49;http://www.reparalia.es/;0.23;0.34;0.03;3000;0.72,0.59,0.72,0.59,0.88,0.59,0.59,0.48,0.72,0.99,0.99,0.99
reparaciones hogar;1;2;1;110;1.22;http://www.reparalia.es/;0.18;0.68;0.86;1100000;0.79,0.64,0.64,0.79,0.64,0.36,0.99,0.50,0.79,0.79,0.79,0.79
reparaciones del hogar;2;3;1;390;1.07;http://www.reparalia.es/;0.18;0.58;0.60;1090000;0.36,0.36,0.36,0.30,0.24,0.30,0.24,0.30,0.36,0.99,0.99,0.55
taco para pladur;1;1;0;70;0.11;http://www.reparalia.es/blog/2014/06/18/puedo-colgar-cosas-pesadas-de-una-pared-de-pladur/;0.11;0.03;0.15;101000;0.45,0.45,0.64,0.99,0.45,0.45,0.64,0.64,0.82,0.82,0.64,0.82
reforma cocina sin obras;1;1;0;70;1.50;http://www.reparalia.es/blog/2014/06/13/reforma-tu-cocina-sin-hacer-obra/;0.11;0.53;0.69;240000;0.21,0.21,0.14,0.21,0.36,0.36,0.21,0.79,0.79,0.79,0.99,0.50
colgar tv en pladur;1;1;0;70;0.00;http://www.reparalia.es/blog/2014/06/18/puedo-colgar-cosas-pesadas-de-una-pared-de-pladur/;0.11;0.00;0.03;19000;0.18,0.27,0.45,0.64,0.82,0.64,0.45,0.64,0.99,0.99,0.64,0.18
endesa atencion al cliente;18;18;0;9900;0.09;http://www.reparalia.es/conocenos/atencion-al-cliente;0.10;0.02;0.13;62000;0.30,0.82,0.20,0.07,0.30,0.99,0.55,0.09,0.13,0.16,0.45,0.67
reparaciones;5;5;0;590;1.05;http://www.reparalia.es/;0.10;0.33;0.21;34100000;0.59,0.59,0.48,0.48,0.48,0.48,0.48,0.59,0.99,0.72,0.72,0.72
certificado instalacion electrica;2;2;0;210;3.33;http://www.reparalia.es/blog/2014/04/29/que-es-el-boletin-electrico-o-certificado-de-instalacion-electrica/;0.09;0.98;0.54;812000;0.44,0.28,0.44,0.44,0.44,0.54,0.67,0.82,0.67,0.67,0.67,0.99
certificado de instalacion electrica;3;3;0;260;3.69;http://www.reparalia.es/blog/2014/04/29/que-es-el-boletin-electrico-o-certificado-de-instalacion-electrica/;0.08;0.93;0.52;201000;0.53,0.53,0.53,0.66,0.66,0.53,0.81,0.99,0.99,0.81,0.99,0.99
pared de pladur;4;4;0;320;0.01;http://www.reparalia.es/blog/2014/06/18/puedo-colgar-cosas-pesadas-de-una-pared-de-pladur/;0.08;0.00;0.12;480000;0.82,0.54,0.54,0.54,0.67,0.67,0.82,0.82,0.99,0.82,0.99,0.99
taco pladur;2;2;0;170;0.08;http://www.reparalia.es/blog/2014/06/18/puedo-colgar-cosas-pesadas-de-una-pared-de-pladur/;0.07;0.01;0.07;50000;0.65,0.54,0.65,0.65,0.65,0.65,0.81,0.65,0.99,0.65,0.81,0.81
