Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
electricistas madrid;4;4;0;1600;12.50;http://www.servi-madrid24.com/;24.83;42.41;0.89;679000;0.79,0.67,0.79,0.67,0.67,0.42,0.54,0.67,0.99,0.79,0.67,0.42
electricista;8;9;1;2400;3.19;http://www.servi-madrid24.com/;15.96;6.95;0.77;12400000;0.53,0.44,0.53,0.53,0.53,0.44,0.99,0.81,0.67,0.67,0.81,0.67
electricistas;6;6;0;880;4.38;http://www.servi-madrid24.com/;9.75;5.83;0.81;1550000;0.88,0.88,0.88,0.88,0.72,0.59,0.88,0.88,0.99,0.99,0.99,0.88
electricista madrid;3;3;0;480;11.89;http://www.servi-madrid24.com/;9.57;15.56;0.95;541000;0.39,0.39,0.88,0.48,0.39,0.26,0.39,0.48,0.99,0.72,0.59,0.32
electricistas en madrid;2;2;0;320;10.32;http://www.servi-madrid24.com/;9.22;13.00;0.50;538000;0.82,0.82,0.82,0.82,0.99,0.82,0.82,0.82,0.99,0.99,0.82,0.67
electricista 24 horas;1;1;0;70;5.69;http://www.servi-madrid24.com/;7.29;5.67;0.77;656000;0.64,0.64,0.64,0.36,0.45,0.45,0.64,0.64,0.64,0.99,0.82,0.82
electricistas 24 horas;1;1;0;70;2.10;http://www.servi-madrid24.com/;7.29;2.09;0.80;651000;0.82,0.82,0.99,0.36,0.64,0.36,0.45,0.64,0.99,0.82,0.64,0.45
electricista urgente;1;1;0;70;3.71;http://www.servi-madrid24.com/;7.29;3.69;0.82;453000;0.53,0.41,0.53,0.24,0.24,0.99,0.28,0.41,0.65,0.41,0.41,0.24
electricistas urgentes;1;1;0;40;1.17;http://www.servi-madrid24.com/;4.16;0.66;0.99;480000;0.43,0.99,0.99,0.56,0.71,0.28,0.28,0.71,0.56,0.43,0.14,0.14
electricistas urgencias;1;0;0;20;1.57;http://www.servi-madrid24.com/;2.08;0.44;0.94;472000;0.75,0.99,0.99,0.75,0.25,0.25,0.25,0.25,0.75,0.99,0.50,0.25
electricista en madrid;4;5;1;70;10.74;http://www.servi-madrid24.com/;1.08;1.59;0.96;550000;0.50,0.36,0.36,0.50,0.79,0.36,0.64,0.50,0.99,0.50,0.36,0.28
electricistas de madrid;1;0;0;10;10.47;http://www.servi-madrid24.com/;1.04;1.49;0.96;774000;0.33,0.33,0.33,0.33,0.33,0.99,0.33,0.33,0.67,0.67,0.33,0.33
electricistas 24h;1;0;0;10;0.00;http://www.servi-madrid24.com/;1.04;0.00;0.93;376000;0.50,0.50,0.99,0.50,0.50,0.50,0.50,0.50,0.99,0.50,0.50,0.50
electricistas baratos;6;6;0;90;5.52;http://www.servi-madrid24.com/;0.99;0.75;0.95;719000;0.19,0.19,0.19,0.10,0.43,0.43,0.33,0.52,0.67,0.67,0.99,0.52
madrid 24;15;0;0;10;0.00;http://www.servi-madrid24.com/;0.01;0.00;0.00;596000000;0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.50
