Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
tenders;1;1;0;480;0.00;http://tenders.es/;13.27;0.00;0.01;63300000;0.99,0.81,0.66,0.66,0.66,0.54,0.81,0.81,0.81,0.54,0.81,0.81
presupuesto instalacion electrica;1;1;0;140;2.04;http://tenders.es/presupuesto/barcelona/barcelona/instalacion-electrica-de-una-vivienda-de-60-m2_6540/;3.87;6.47;0.47;279000;0.99,0.43,0.67,0.67,0.81,0.33,0.43,0.67,0.43,0.52,0.81,0.81
precio lacar puertas en blanco;1;3;2;140;0.64;http://tenders.es/pregunta/es-mas-caro-lacar-en-blanco-puertas-o-ponerlas-nuevas_639/;3.87;2.03;0.61;70000;0.28,0.22,0.28,0.28,0.34,0.44,0.66,0.28,0.28,0.16,0.66,0.99
precio lacar puertas;1;1;0;140;0.56;http://tenders.es/pregunta/es-mas-caro-lacar-en-blanco-puertas-o-ponerlas-nuevas_639/;3.87;1.77;0.44;129000;0.67,0.67,0.81,0.52,0.52,0.67,0.52,0.81,0.99,0.81,0.81,0.67
lacar puertas en blanco precio;1;4;3;110;0.94;http://tenders.es/pregunta/es-mas-caro-lacar-en-blanco-puertas-o-ponerlas-nuevas_639/;3.04;2.34;0.67;71000;0.23,0.19,0.19,0.10,0.19,0.19,0.23,0.28,0.99,0.15,0.19,0.15
precio instalacion electrica;1;1;0;110;2.57;http://tenders.es/presupuesto/barcelona/barcelona/instalacion-electrica-de-una-vivienda-de-60-m2_6540/;3.04;6.41;0.46;769000;0.41,0.41,0.41,0.41,0.41,0.28,0.65,0.53,0.99,0.82,0.99,0.99
presupuesto instalacion electrica vivienda;1;1;0;70;2.47;http://tenders.es/presupuesto/barcelona/barcelona/instalacion-electrica-de-una-vivienda-de-60-m2_6540/;1.93;3.92;0.37;102000;0.45,0.64,0.99,0.45,0.27,0.27,0.27,0.82,0.64,0.64,0.64,0.64
cambiar instalacion electrica;1;2;1;70;1.32;http://tenders.es/presupuesto/madrid/alcorcon/cambio-instalacion-electrica_386/;1.93;2.09;0.18;341000;0.36,0.45,0.64,0.64,0.64,0.18,0.27,0.45,0.36,0.99,0.82,0.99
precio pladur colocado;1;1;0;50;0.83;http://tenders.es/pregunta/precio-por-metro-de-pladur-colocado_183/;1.38;0.94;0.12;22000;0.45,0.36,0.27,0.45,0.82,0.64,0.99,0.36,0.45,0.18,0.64,0.64
lacado de puertas;6;7;1;390;0.73;http://tenders.es/presupuesto/madrid/guadarrama/pintar-en-lacado-9-puertas-de-mi-vivienda_4132/;1.14;0.68;0.60;686000;0.99,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.99,0.99
acuchillar parquet precio;3;4;1;210;2.38;http://tenders.es/presupuesto/madrid/mostoles/acuchillar-y-barnizar-parquet-en-un-piso-de-80-m2_4096/;1.11;2.17;0.77;42000;0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99
precio parquet instalado;1;3;2;40;1.29;http://tenders.es/presupuesto/madrid/leganes/instalar-tarima-flotante-o-parquet-en-un-piso_4010/;1.10;1.17;0.79;206000;0.99,0.56,0.44,0.22,0.11,0.22,0.33,0.22,0.44,0.44,0.56,0.44
lacar puertas en blanco;11;12;1;390;0.64;http://tenders.es/pregunta/es-mas-caro-lacar-en-blanco-puertas-o-ponerlas-nuevas_639/;1.07;0.56;0.50;120000;0.99,0.82,0.44,0.19,0.30,0.99,0.30,0.24,0.24,0.30,0.36,0.36
precio lacar puertas;2;2;0;140;0.56;http://tenders.es/presupuesto/madrid/guadarrama/pintar-en-lacado-9-puertas-de-mi-vivienda_4132/;1.07;0.49;0.44;129000;0.67,0.67,0.81,0.52,0.52,0.67,0.52,0.81,0.99,0.81,0.81,0.67
presupuesto reforma;6;8;2;320;4.00;http://tenders.es/;0.94;3.08;0.91;39600000;0.99,0.66,0.54,0.54,0.44,0.28,0.44,0.54,0.66,0.54,0.66,0.54
precio acuchillar parquet;3;3;0;170;2.52;http://tenders.es/presupuesto/madrid/mostoles/acuchillar-y-barnizar-parquet-en-un-piso-de-80-m2_4096/;0.90;1.86;0.67;42000;0.81,0.65,0.65,0.65,0.65,0.65,0.54,0.54,0.54,0.42,0.99,0.99
pintura para azulejos precio;11;11;0;320;0.16;http://tenders.es/pregunta/se-quedan-bien-los-azulejos-tapados-cn-pintura_69/;0.88;0.11;0.76;502000;0.99,0.36,0.28,0.54,0.66,0.44,0.36,0.44,0.81,0.36,0.44,0.54
barniz poliuretano;4;4;0;210;0.60;http://tenders.es/pregunta/que-barniz-es-mejor-para-una-vivienda-con-ninosas-el-poliuretano-o-el-barniz-al-agua_657/;0.86;0.42;0.56;344000;0.99,0.66,0.66,0.66,0.66,0.66,0.66,0.53,0.66,0.66,0.66,0.81
lacar puertas blanco;4;5;1;210;0.79;http://tenders.es/pregunta/es-mas-caro-lacar-en-blanco-puertas-o-ponerlas-nuevas_639/;0.86;0.56;0.37;119000;0.24,0.08,0.28,0.81,0.99,0.19,0.15,0.08,0.15,0.08,0.36,0.28
reforma integral casa;2;2;0;110;2.10;http://tenders.es/presupuesto/madrid/madrid/reforma-integral-casa-120-metros-cuadrados_6610/;0.84;1.44;0.77;911000;0.82,0.82,0.64,0.99,0.99,0.82,0.99,0.99,0.82,0.99,0.99,0.99
presupuesto alicatar baño;1;2;1;30;1.68;http://tenders.es/presupuesto/cuenca/cuenca/alicatar-bano-de-28-m2-y-poner-suelo-en-piso-de-74m2-queria-presopuesto-con-parquet-y-terrazo_662/;0.82;1.14;0.84;93000;0.80,0.40,0.60,0.20,0.40,0.60,0.60,0.40,0.80,0.60,0.99,0.40
presupuesto electricidad vivienda;1;1;0;30;1.03;http://tenders.es/presupuesto/barcelona/barcelona/instalacion-electrica-de-una-vivienda-de-60-m2_6540/;0.82;0.70;0.54;572000;0.43,0.14,0.99,0.43,0.28,0.56,0.14,0.43,0.28,0.14,0.56,0.99
