Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
tumanitas;1;1;0;2400;0.05;http://tumanitas.com/;32.31;1.29;0.13;324000;0.99,0.83,0.83,0.83,0.66,0.66,0.66,0.66,0.66,0.55,0.83,0.83
tu manitas;1;1;0;480;0.10;http://tumanitas.com/;6.46;0.51;0.18;810000;0.99,0.81,0.81,0.99,0.99,0.81,0.81,0.99,0.99,0.81,0.99,0.99
presupuestos de reformas;1;1;0;390;4.58;http://tumanitas.com/;5.25;19.34;0.86;11900000;0.81,0.99,0.66,0.54,0.44,0.44,0.66,0.66,0.66,0.66,0.44,0.44
tus manitas;1;1;0;260;0.30;http://tumanitas.com/;3.50;0.84;0.23;704000;0.99,0.67,0.54,0.67,0.54,0.35,0.44,0.67,0.67,0.35,0.54,0.67
presupuestos reformas;1;1;0;260;4.38;http://tumanitas.com/;3.50;12.33;0.86;11800000;0.99,0.81,0.99,0.99,0.53,0.53,0.81,0.99,0.81,0.66,0.81,0.81
pedir presupuestos;1;1;0;170;1.39;http://tumanitas.com/pedir-presupuestos.html;2.28;2.55;0.59;1170000;0.28,0.44,0.99,0.82,0.82,0.82,0.67,0.18,0.05,0.08,0.05,0.08
poliuretano proyectado precio m2;1;1;0;170;0.73;http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado;2.28;1.34;0.61;25000;0.81,0.52,0.67,0.67,0.67,0.67,0.81,0.81,0.67,0.81,0.99,0.81
presupuestos para reformas;1;1;0;140;3.52;http://tumanitas.com/;1.88;5.33;0.64;11000000;0.43,0.19,0.33,0.67,0.99,0.52,0.52,0.81,0.67,0.67,0.99,0.81
tumanitas.com;1;1;0;90;0.28;http://tumanitas.com/;1.21;0.27;0.30;324000;0.99,0.52,0.43,0.24,0.33,0.24,0.33,0.33,0.43,0.24,0.24,0.24
comparar presupuestos;2;2;0;260;1.27;http://tumanitas.com/;0.96;0.98;0.02;848000;0.23,0.28,0.82,0.67,0.54,0.67,0.82,0.82,0.82,0.99,0.82,0.82
presupuesto reforma;4;4;0;320;4.00;http://tumanitas.com/;0.64;2.06;0.91;39600000;0.99,0.66,0.54,0.54,0.44,0.28,0.44,0.54,0.66,0.54,0.66,0.54
mudanzas barcelona;15;16;1;4400;6.60;http://tumanitas.com/trabajos-en/barcelona/mudanzas-transporte;0.63;3.34;0.87;868000;0.81,0.81,0.81,0.81,0.81,0.67,0.81,0.99,0.81,0.99,0.99,0.99
reformas baños;9;9;0;720;1.75;http://tumanitas.com/trabajos-de/reformas-banos;0.61;0.87;0.83;938000;0.99,0.82,0.99,0.82,0.67,0.67,0.82,0.82,0.99,0.82,0.99,0.99
pedir presupuesto reforma;1;1;0;40;4.58;http://tumanitas.com/;0.53;1.98;0.97;4200000;0.44,0.22,0.33,0.56,0.56,0.33,0.99,0.99,0.33,0.33,0.44,0.11
reformar piso;11;11;0;390;2.31;http://tumanitas.com/trabajos-de/reforma-vivienda;0.52;0.97;0.85;13400000;0.54,0.44,0.66,0.44,0.54,0.54,0.66,0.81,0.81,0.66,0.99,0.81
presupuesto reformas;2;2;0;140;4.65;http://tumanitas.com/;0.52;1.95;0.80;23200000;0.82,0.82,0.65,0.99,0.82,0.82,0.65,0.82,0.65,0.53,0.65,0.82
empresas de reformas;9;11;2;590;3.13;http://tumanitas.com/buscar-empresas;0.50;1.27;0.94;45200000;0.82,0.82,0.82,0.67,0.82,0.54,0.67,0.82,0.82,0.67,0.82,0.99
precio reforma baño;5;6;1;320;1.74;http://tumanitas.com/precios-de-reformas/reformas-banos;0.45;0.64;0.85;7930000;0.82,0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.67,0.99,0.99
obras y reformas;7;6;-1;390;2.08;http://tumanitas.com/;0.44;0.74;0.84;577000;0.99,0.67,0.99,0.81,0.54,0.35,0.67,0.81,0.81,0.54,0.81,0.81
precios cocinas;11;12;1;320;0.38;http://tumanitas.com/precios-de-reformas/reformas-cocinas;0.43;0.13;0.87;1140000;0.81,0.54,0.54,0.54,0.54,0.54,0.67,0.67,0.81,0.67,0.99,0.81
carpinteria de aluminio precios;4;5;1;210;1.59;http://tumanitas.com/precios-de-reformas/carpinteria-metalica;0.42;0.53;0.96;454000;0.81,0.66,0.66,0.44,0.53,0.81,0.81,0.99,0.81,0.53,0.53,0.66
carpinteria barcelona;4;3;-1;210;1.55;http://tumanitas.com/trabajos-en/barcelona/carpinteria-madera;0.42;0.52;0.77;552000;0.81,0.65,0.81,0.65,0.81,0.81,0.99,0.99,0.99,0.81,0.99,0.81
pedir presupuesto;2;2;0;110;2.94;http://tumanitas.com/pedir-presupuestos.html;0.40;0.96;0.66;16500000;0.82,0.65,0.99,0.53,0.53,0.65,0.53,0.65,0.53,0.82,0.82,0.82
poliuretano proyectado precio;2;1;-1;110;0.77;http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado;0.40;0.25;0.70;75000;0.52,0.33,0.33,0.43,0.19,0.43,0.43,0.43,0.67,0.81,0.99,0.99
tu manitas.com;1;1;0;30;0.11;http://tumanitas.com/;0.40;0.03;0.45;1020000;0.80,0.80,0.40,0.40,0.40,0.60,0.40,0.80,0.80,0.80,0.99,0.60
www.tumanitas.com;1;1;0;30;0.82;http://tumanitas.com/;0.40;0.26;0.66;324000;0.80,0.40,0.60,0.80,0.99,0.20,0.40,0.20,0.60,0.20,0.40,0.40
presupuesto de electricidad;1;1;0;30;1.04;http://tumanitas.com/trabajos-de/electricidad;0.40;0.33;0.66;13500000;0.75,0.50,0.75,0.25,0.50,0.75,0.50,0.75,0.75,0.50,0.99,0.99
tapizar sofa precio;9;10;1;390;0.25;http://tumanitas.com/trabajos-de/tapizar-sofa;0.33;0.06;0.85;133000;0.44,0.44,0.44,0.44,0.54,0.66,0.66,0.66,0.81,0.66,0.99,0.81
poliuretano precio;2;2;0;90;0.45;http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado;0.33;0.12;0.96;722000;0.79,0.64,0.79,0.64,0.64,0.50,0.79,0.99,0.79,0.64,0.50,0.64
lacar puertas en blanco;10;10;0;390;0.64;http://tumanitas.com/trabajos-de/lacar-puertas;0.33;0.17;0.50;120000;0.99,0.82,0.44,0.19,0.30,0.99,0.30,0.24,0.24,0.30,0.36,0.36
espuma de poliuretano precio;8;8;0;390;0.27;http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado;0.33;0.07;0.91;487000;0.67,0.81,0.67,0.67,0.81,0.81,0.81,0.81,0.67,0.54,0.99,0.99
precio poliuretano proyectado;2;2;0;90;0.56;http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado;0.33;0.15;0.73;75000;0.82,0.64,0.82,0.64,0.45,0.99,0.64,0.64,0.82,0.99,0.99,0.99
espuma de poliuretano proyectado precios;2;2;0;90;0.67;http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado;0.33;0.18;0.71;41000;0.99,0.36,0.50,0.50,0.50,0.64,0.64,0.64,0.99,0.99,0.79,0.79
presupuesto reforma baño;7;6;-1;260;1.89;http://tumanitas.com/trabajos-de/reformas-banos;0.29;0.45;0.87;503000;0.82,0.67,0.67,0.67,0.99,0.54,0.67,0.67,0.67,0.67,0.82,0.67
presupuestos reformas madrid;3;2;-1;110;5.42;http://tumanitas.com/;0.28;1.23;0.62;667000;0.35,0.35,0.42,0.42,0.35,0.27,0.19,0.42,0.42,0.42,0.99,0.65
reformas baños barcelona;11;9;-2;210;4.08;http://tumanitas.com/trabajos-en/provincia-de-barcelona/reformas-banos;0.28;0.92;0.80;5520000;0.99,0.81,0.81,0.34,0.44,0.34,0.81,0.81,0.66,0.53,0.53,0.81
lacar puertas blanco;11;10;-1;210;0.79;http://tumanitas.com/trabajos-de/lacar-puertas;0.28;0.17;0.37;119000;0.24,0.08,0.28,0.81,0.99,0.19,0.15,0.08,0.15,0.08,0.36,0.28
precio cocina;11;10;-1;210;0.50;http://tumanitas.com/precios-de-reformas/cocina;0.28;0.11;0.68;154000000;0.81,0.65,0.81,0.65,0.65,0.42,0.81,0.81,0.81,0.65,0.99,0.99
como alicatar una pared;4;4;0;140;0.00;http://blog.tumanitas.com/como-alicatar-paredes/;0.28;0.00;0.10;376000;0.43,0.81,0.99,0.99,0.67,0.43,0.81,0.67,0.81,0.19,0.99,0.81
presupuesto obra;4;4;0;140;1.88;http://tumanitas.com/;0.28;0.42;0.73;43400000;0.65,0.65,0.82,0.99,0.82,0.53,0.82,0.82,0.82,0.65,0.99,0.82
solicitar presupuestos;8;9;1;320;1.92;http://tumanitas.com/;0.27;0.42;0.03;17900000;0.18,0.36,0.82,0.82,0.67,0.99,0.82,0.82,0.82,0.99,0.82,0.67
precio tapizar sofa;9;10;1;320;0.17;http://tumanitas.com/trabajos-de/tapizar-sofa;0.27;0.03;0.59;133000;0.67,0.44,0.54,0.54,0.54,0.67,0.82,0.82,0.99,0.82,0.99,0.99
reformas de baños;15;15;0;1900;2.02;http://tumanitas.com/precios-de-reformas/reformas-banos;0.27;0.44;0.84;859000;0.66,0.55,0.66,0.45,0.34,0.45,0.55,0.55,0.83,0.55,0.99,0.99
presupuesto para reforma;1;1;0;20;1.94;http://tumanitas.com/;0.26;0.42;0.91;40000000;0.75,0.50,0.99,0.75,0.50,0.50,0.25,0.25,0.75,0.25,0.50,0.50
presupuestos de reforma;1;1;0;20;5.48;http://tumanitas.com/;0.26;1.18;1.00;23700000;0.99,0.25,0.25,0.50,0.75,0.50,0.25,0.25,0.50,0.50,0.75,0.25
paginas de reformas;1;1;0;20;2.50;http://tumanitas.com/;0.26;0.54;0.97;20200000;0.67,0.67,0.99,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.99,0.33
presupuestos profesionales;1;1;0;20;2.44;http://tumanitas.com/;0.26;0.52;0.59;26200000;0.33,0.33,0.67,0.33,0.33,0.33,0.67,0.67,0.67,0.33,0.33,0.99
presupuestos obras;2;2;0;70;3.06;http://tumanitas.com/;0.26;0.64;0.93;26600000;0.82,0.99,0.82,0.64,0.45,0.27,0.45,0.64,0.64,0.36,0.64,0.64
proyectado de poliuretano precio;2;2;0;70;0.73;http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado;0.26;0.15;0.75;122000;0.28,0.18,0.24,0.18,0.28,0.53,0.65,0.99,0.28,0.12,0.18,0.28
pide presupuesto;2;2;0;70;1.73;http://tumanitas.com/pedir-presupuestos.html;0.26;0.36;0.38;1270000;0.99,0.78,0.78,0.78,0.78,0.56,0.56,0.56,0.78,0.78,0.99,0.99
reforma baño precio;6;6;0;170;2.11;http://tumanitas.com/precios-de-reformas/reformas-banos;0.24;0.41;0.87;7900000;0.66,0.53,0.34,0.22,0.66,0.53,0.53,0.28,0.53,0.66,0.99,0.81
reformas de baños en madrid;7;8;1;210;4.63;http://tumanitas.com/trabajos-en/madrid/reformas-banos;0.24;0.89;0.84;694000;0.08,0.10,0.10,0.12,0.08,0.06,0.10,0.36,0.99,0.67,0.30,0.12
altillos de madera;7;11;4;210;0.28;http://tumanitas.com/precios-de-reformas/reformas/altillos-en-entreplanta;0.24;0.05;0.45;432000;0.67,0.18,0.23,0.18,0.36,0.54,0.36,0.28,0.67,0.67,0.99,0.82
presupuesto de reformas;3;3;0;90;3.91;http://tumanitas.com/;0.23;0.72;0.88;23800000;0.82,0.65,0.53,0.99,0.41,0.28,0.65,0.28,0.28,0.53,0.28,0.41
presupuesto pintar piso;11;0;0;170;1.81;http://tumanitas.com/trabajos-de/pintura-2;0.22;0.33;0.73;411000;0.99,0.81,0.81,0.42,0.65,0.54,0.65,0.81,0.54,0.65,0.81,0.65
microcemento sika;8;8;0;260;1.30;http://blog.tumanitas.com/como-revestir-paredes-de-microcemento/;0.22;0.23;0.82;20000;0.99,0.99,0.81,0.81,0.99,0.81,0.66,0.99,0.81,0.53,0.66,0.66
precio quitar gotele;10;10;0;260;1.04;http://tumanitas.com/trabajos-de/quitar-gotele;0.22;0.18;0.74;74000;0.66,0.66,0.66,0.66,0.53,0.66,0.66,0.81,0.99,0.81,0.99,0.99
presupuesto reforma baño;8;0;0;260;1.89;http://tumanitas.com/precios-de-reformas/reformas-banos;0.22;0.33;0.87;503000;0.82,0.67,0.67,0.67,0.99,0.54,0.67,0.67,0.67,0.67,0.82,0.67
presupuesto de reforma;4;3;-1;110;3.92;http://tumanitas.com/;0.22;0.69;0.83;39800000;0.67,0.52,0.52,0.19,0.43,0.99,0.81,0.43,0.52,0.24,0.24,0.33
precio instalacion electrica;4;3;-1;110;2.57;http://tumanitas.com/trabajos-de/instalacion-electrica;0.22;0.45;0.46;769000;0.41,0.41,0.41,0.41,0.41,0.28,0.65,0.53,0.99,0.82,0.99,0.99
presupuesto de pintura;4;5;1;110;1.88;http://tumanitas.com/trabajos-de/pintura;0.22;0.33;0.75;2150000;0.99,0.82,0.82,0.65,0.65,0.53,0.53,0.53,0.65,0.28,0.53,0.65
precio lacar puertas;5;4;-1;140;0.56;http://tumanitas.com/trabajos-de/lacar-puertas;0.20;0.09;0.44;129000;0.67,0.67,0.81,0.52,0.52,0.67,0.52,0.81,0.99,0.81,0.81,0.67
manitas madrid;6;7;1;140;1.01;http://tumanitas.com/;0.20;0.16;0.87;573000;0.67,0.43,0.67,0.52,0.81,0.81,0.67,0.67,0.81,0.99,0.67,0.67
manitas madrid;5;6;1;140;1.01;http://tumanitas.com/trabajos-en/madrid;0.20;0.16;0.87;573000;0.67,0.43,0.67,0.52,0.81,0.81,0.67,0.67,0.81,0.99,0.67,0.67
zocalos de piedra;11;11;0;140;0.14;http://blog.tumanitas.com/zocalos-de-piedra-perfectos-para-las-humedades/;0.18;0.02;0.22;611000;0.99,0.99,0.81,0.19,0.42,0.81,0.81,0.35,0.27,0.27,0.54,0.54
carpinteria metalica sevilla;11;11;0;140;0.76;http://tumanitas.com/trabajos-en/sevilla/carpinteria-metalica;0.18;0.11;0.56;223000;0.99,0.82,0.65,0.82,0.99,0.65,0.82,0.82,0.82,0.65,0.99,0.82
reformas precios;2;2;0;50;2.06;http://tumanitas.com/precios-de-reformas;0.18;0.30;0.97;20000000;0.56,0.78,0.99,0.56,0.44,0.33,0.44,0.44,0.56,0.33,0.44,0.56
presupuesto electricidad;2;2;0;50;1.29;http://tumanitas.com/trabajos-de/electricidad;0.18;0.19;0.49;14600000;0.71,0.56,0.71,0.43,0.43,0.43,0.56,0.71,0.99,0.28,0.71,0.99
presupuestos obras y reformas;2;2;0;50;4.07;http://tumanitas.com/;0.18;0.60;0.89;565000;0.36,0.99,0.27,0.09,0.36,0.36,0.45,0.45,0.45,0.45,0.36,0.64
precios reformas;2;2;0;50;2.88;http://tumanitas.com/precios-de-reformas;0.18;0.43;0.93;19800000;0.71,0.71,0.43,0.56,0.56,0.99,0.56,0.56,0.71,0.43,0.99,0.99
