reformas de baños;1;1;0;1900;2.02;http://fotos.habitissimo.es/reformas-banos;1.50;2.85;0.84;1040000;0.66,0.55,0.66,0.45,0.34,0.45,0.55,0.55,0.83,0.55,0.99,0.99
microcemento precio;1;1;0;880;1.59;http://precio.habitissimo.es/microcemento;0.69;1.03;0.90;374000;0.99,0.77,0.77,0.45,0.37,0.68,0.68,0.77,0.77,0.68,0.68,0.77
casas pequeñas;1;1;0;880;0.25;http://www.habitissimo.es/ideas/casas-pequenas-con-mucho-estilo;0.69;0.16;0.13;19700000;0.68,0.55,0.68,0.55,0.55,0.68,0.68,0.68,0.68,0.55,0.99,0.99
grohe;11;12;1;8100;0.02;http://www.habitissimo.es/grohe;0.64;0.01;0.11;15500000;0.99,0.81,0.99,0.81,0.99,0.67,0.99,0.99,0.99,0.81,0.99,0.99
reformas baños;1;1;0;720;1.75;http://fotos.habitissimo.es/reformas-banos;0.57;0.93;0.83;938000;0.99,0.82,0.99,0.82,0.67,0.67,0.82,0.82,0.99,0.82,0.99,0.99
baños con ducha;1;4;3;590;0.84;http://fotos.habitissimo.es/reformas-banos;0.46;0.36;0.37;23000000;0.59,0.48,0.48,0.48,0.48,0.48,0.72,0.72,0.59,0.48,0.99,0.88
empresas de reformas;1;2;1;590;3.13;http://www.habitissimo.es/empresas/reformas;0.46;1.37;0.94;45200000;0.82,0.82,0.82,0.67,0.82,0.54,0.67,0.82,0.82,0.67,0.82,0.99
copitima;11;10;-1;5400;0.00;http://www.habitissimo.es/certificaciones/copitima;0.42;0.00;0.00;3000;0.99,0.82,0.99,0.99,0.99,0.67,0.82,0.99,0.82,0.82,0.82,0.82
maison decor;2;2;0;1900;0.35;http://www.habitissimo.es/maison-decor;0.41;0.13;0.21;5060000;0.99,0.67,0.79,0.67,0.79,0.79,0.99,0.99,0.99,0.79,0.99,0.79
expomobi;10;10;0;8100;0.22;http://www.habitissimo.es/muebles-expo-mobi;0.40;0.08;0.06;58000;0.82,0.82,0.99,0.82,0.82,0.67,0.67,0.67,0.67,0.45,0.67,0.45
marcas de colchones;1;1;0;480;0.82;http://www.habitissimo.es/marcas/colchones;0.38;0.29;0.80;750000;0.81,0.81,0.81,0.66,0.81,0.99,0.99,0.99,0.99,0.66,0.99,0.99
cuanto cuesta tapizar un sofa;1;1;0;480;0.21;http://precio.habitissimo.es/tapizar-sofa;0.38;0.07;0.52;6000;0.67,0.44,0.54,0.54,0.44,0.44,0.67,0.67,0.82,0.67,0.99,0.82
profiltek;7;6;-1;5400;0.30;http://www.habitissimo.es/profiltek;0.36;0.10;0.08;118000;0.82,0.82,0.82,0.82,0.99,0.55,0.99,0.99,0.99,0.67,0.82,0.99
gaston y daniela;11;11;0;4400;0.62;http://www.habitissimo.es/gaston-y-daniela;0.34;0.20;0.13;909000;0.81,0.67,0.81,0.67,0.67,0.67,0.99,0.99,0.81,0.67,0.99,0.99
